Measurement Name :,20210617_Pairs_27C,,Generated On :,"17/06/2021, 12:24:49",,,Calibration details for Oxygen,,,Report :,"@m02:IDENTIFICATION
Serial number     : SEBX0007000710      
MUX channel       : ON - 02

PARAMETERS
Sig LED current   : 040
Ref LED current   : 075
Frequency         : 060
Sending interval  : 0000
Pulse lenght      : 06
Red REF comp.     : ON
Temperature comp. : ON

FIRMWARE
ver.4.039.A3.ST   : 04/30/07, 09:14:36
@m02:RDY

",,Other Report :,"Start Temperature : 
End Temperature        : 
Start Humidity         : 
End Humidity           : 
Ref.phase Corre        : 1
Dig. Ampl.Factor       : 
Mod. Coarse Freq.      : 
Mod. Fine Freq.        : 
Mod. Shape             : 
Mono or Stero          : 
Phase Shift            : 
Sampling Rate          : 
Temp. Corr Slop Coef   : 
",,,,,,,,,,,,,,,,
Start Date/Time:,"17/06/2021, 11:18:35",,,,,,Batch No.:  ,PSt5-1624-01_25¡C,,,,,,,,,,,,,,,,,,,,,,
End Date/Time:,"17/06/2021, 12:23:42",,,,,,O2_cal0 [¡],54.76,,,,,,,,,,,,,,,,,,,,,,
User Comment :,0,,Meas. Created By :,admin,,,O2_cal2nd [¡],47.47,,,,,,,,,,,,,,,,,,,,,,
SDR Serial No. :,S-710,,,,,,O2_T0 [¡C],24.8,,,,,,,,,,,,,,,,,,,,,,
Parameter :,Oxygen [cO2 [µmol/L]],,,,,,O2_T2nd [¡C],24.8,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,O2_patm [mbar],965,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,O2_2nd [% a.s.],100,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date/Time,Time/Min.,A1,B1,C1,D1,A2,B2,C2,D2,A3,B3,C3,D3,A4,B4,C4,D4,A5,B5,C5,D5,A6,C6,D6,,Tm [¡C],p [mbar],Salinity [g/1000g],T_internal [¡C],Error
17.06.21 11:18:37,0.03,224.88,207.95,169.15,205.47,215.73,195.07,215.73,224.56,202.4,193.25,191.73,229.02,178.27,198.72,191.13,202.09,184.22,194.76,206.71,212.29,200.56,199.03,213.85,,27,965,34,29.85,965D6-(E1);
17.06.21 11:18:52,0.28,223.29,204.86,174.14,224.24,223.29,191.43,213.54,212.29,219.19,199.33,188.42,198.72,173.55,175.32,181.24,200.56,189.32,196.89,209.5,211.98,212.92,211.67,218.87,,27,965,34,29.73,965D6-(E1);
17.06.21 11:19:07,0.53,226.79,214.79,171.79,204.24,209.81,215.73,207.02,215.73,190.53,188.72,195.37,214.79,177.68,185.72,193.55,216.36,195.67,205.17,207.33,197.81,212.29,214.17,220.13,,27,965,34,29.67,965D6-(E1);
17.06.21 11:19:22,0.78,237.05,201.17,188.42,227.1,217.93,224.24,184.22,230.3,199.94,201.48,209.5,217.93,170.32,183.33,194.16,220.45,183.03,206.4,207.95,201.48,214.48,209.5,218.24,,27,965,34,29.63,965D6-(E1);
17.06.21 11:19:37,1.03,223.61,218.24,171.5,229.98,206.4,199.94,212.92,223.29,222.03,206.09,195.07,218.56,187.22,199.33,198.42,189.62,193.25,191.73,211.05,209.5,215.11,217.61,220.13,,27,965,34,29.61,965D6-(E1);
17.06.21 11:19:52,1.28,231.26,212.61,182.73,234.79,219.19,208.26,182.43,229.66,210.43,202.4,197.2,204.86,192.94,190.83,186.02,203.32,191.73,204.86,194.76,211.05,219.82,216.67,212.92,,27,965,34,29.61,965D6-(E1);
17.06.21 11:20:07,1.53,218.56,216.36,183.33,230.3,221.39,211.05,206.71,229.66,215.11,212.61,209.81,207.02,177.38,199.33,189.32,203.01,209.81,191.73,216.36,210.12,217.61,223.93,224.24,,27,965,34,29.63,965D6-(E1);
17.06.21 11:20:22,1.78,228.38,214.17,172.67,225.83,216.36,205.17,186.32,222.34,206.71,199.33,197.81,223.61,177.68,179.75,207.95,198.42,203.93,211.98,221.71,206.09,216.67,216.99,217.61,,27,965,34,29.63,965D6-(E1);
17.06.21 11:20:37,2.03,240.29,226.47,178.57,220.45,224.88,224.56,218.87,226.79,212.29,195.67,185.12,228.38,188.72,195.98,181.84,220.45,202.7,215.42,209.19,226.15,221.39,222.97,217.3,,27,965,34,29.64,965D6-(E1);
17.06.21 11:20:52,2.28,234.15,200.56,172.96,233.83,223.61,195.67,223.61,221.39,220.45,203.01,182.13,214.17,184.82,188.42,188.72,216.04,197.5,209.19,220.13,209.19,217.3,212.29,223.93,,27,965,34,29.67,965D6-(E1);
17.06.21 11:21:07,2.53,223.61,230.3,183.03,240.94,230.94,211.05,212.92,217.61,216.99,206.71,186.02,228.06,180.65,185.72,210.74,206.09,202.7,206.71,225.51,212.92,221.08,214.79,220.45,,27,965,34,29.69,965D6-(E1);
17.06.21 11:21:22,2.78,229.98,226.79,174.14,222.34,219.19,202.7,208.57,220.76,223.93,212.92,205.47,214.48,189.02,200.86,205.47,217.61,195.37,199.64,222.97,215.11,221.39,219.19,218.56,,27,965,34,29.71,965D6-(E1);
17.06.21 11:21:37,3.03,235.44,239.32,172.67,231.9,236.08,208.57,226.79,228.06,204.24,208.88,196.28,226.79,203.32,207.02,203.63,215.11,208.26,220.13,216.36,221.71,232.54,221.08,215.11,,27,965,34,29.74,965D6-(E1);
17.06.21 11:21:52,3.28,239.97,218.87,182.13,245.51,230.94,229.98,234.47,216.99,212.61,217.3,193.25,224.24,194.46,201.48,220.13,211.05,209.5,213.54,212.61,216.99,222.03,215.73,229.02,,27,965,34,29.75,965D6-(E1);
17.06.21 11:22:07,3.53,239.97,211.05,170.03,232.54,228.06,221.71,244.86,232.86,222.66,200.25,199.64,202.7,198.72,209.19,210.43,202.7,189.02,187.82,210.74,201.78,212.92,216.67,224.88,,27,965,34,29.78,965D6-(E1);
17.06.21 11:22:22,3.78,238.35,216.04,173.84,247.15,222.66,197.81,217.61,208.57,233.83,212.92,203.63,221.08,194.76,195.07,215.73,207.64,198.72,198.11,218.24,221.71,222.66,232.86,219.5,,27,965,34,29.8,965D6-(E1);
17.06.21 11:22:37,4.03,239,214.48,191.73,232.54,217.3,235.44,235.44,213.54,219.5,211.36,201.78,228.7,186.32,192.34,204.86,224.56,206.09,203.93,216.04,205.78,221.39,220.76,219.19,,27,965,34,29.81,965D6-(E1);
17.06.21 11:22:52,4.28,234.47,226.79,188.42,231.26,223.29,214.79,198.42,219.82,222.97,216.04,209.81,229.34,210.43,194.76,212.61,195.98,216.67,224.24,209.19,231.9,226.47,230.62,229.02,,27,965,34,29.84,965D6-(E1);
17.06.21 11:23:07,4.53,235.12,220.13,164.79,227.74,233.51,207.64,231.9,222.34,210.74,216.99,206.4,225.83,194.16,190.22,201.17,209.5,199.33,215.11,224.24,208.26,221.39,227.74,216.99,,27,965,34,29.85,965D6-(E1);
17.06.21 11:23:22,4.78,242.25,211.67,175.61,219.82,232.22,220.45,222.03,207.95,222.97,219.5,198.11,219.82,183.33,196.28,186.32,217.3,189.62,209.5,202.4,214.48,216.36,206.71,218.87,,27,965,34,29.88,965D6-(E1);
17.06.21 11:23:37,5.03,232.22,225.19,177.09,213.23,213.85,212.61,226.79,217.61,213.23,202.7,208.57,209.81,200.25,197.2,175.61,200.56,205.78,206.71,213.54,222.97,218.24,218.56,219.19,,27,965,34,29.91,965D6-(E1);
17.06.21 11:23:52,5.28,226.15,206.71,189.02,236.41,214.79,219.82,201.78,206.09,208.26,198.72,190.22,204.86,175.02,194.76,196.89,212.29,202.4,186.32,215.11,199.03,218.24,211.98,218.87,,27,965,34,29.92,965D6-(E1);
17.06.21 11:24:07,5.53,243.22,220.76,195.98,236.08,222.66,214.17,209.19,216.36,214.48,220.45,218.56,219.19,174.73,194.76,211.05,203.93,199.64,203.63,205.47,222.66,221.71,218.87,217.3,,27,965,34,29.94,965D6-(E1);
17.06.21 11:24:22,5.78,218.87,217.61,169.15,228.06,226.79,207.33,230.94,221.71,219.19,216.04,200.25,229.34,206.71,194.46,192.04,216.04,203.32,219.19,200.86,207.02,212.92,202.09,223.29,,27,965,34,29.96,965D6-(E1);
17.06.21 11:24:37,6.03,229.66,202.09,170.32,232.54,210.12,201.48,195.37,213.85,213.85,207.64,187.52,219.19,200.25,217.3,214.17,209.5,203.93,212.92,193.55,213.85,210.43,209.5,224.88,,27,965,34,29.98,965D6-(E1);
17.06.21 11:24:52,6.28,246.49,220.76,174.14,216.04,219.19,214.17,195.98,220.45,212.61,207.95,207.02,235.12,188.42,200.86,209.81,213.23,215.73,207.64,218.56,201.17,217.3,216.36,211.05,,27,965,34,29.99,965D6-(E1);
17.06.21 11:25:07,6.53,234.79,241.92,174.73,235.12,221.71,228.7,212.92,208.57,221.08,204.86,207.02,225.51,194.16,199.94,207.64,208.57,213.23,205.47,206.09,209.5,211.67,214.48,211.05,,27,965,34,30,965D6-(E1);
17.06.21 11:25:22,6.78,239.64,218.87,186.32,238.67,212.92,227.1,213.54,230.94,213.85,211.98,204.55,222.03,191.43,194.16,222.34,225.83,206.71,199.64,216.36,228.38,217.3,215.42,224.24,,27,965,34,30.03,965D6-(E1);
17.06.21 11:25:37,7.03,229.34,232.86,175.61,216.04,211.36,224.56,246.82,218.87,212.92,217.93,207.02,239.32,190.83,200.86,203.01,207.95,190.22,206.09,223.29,202.7,224.56,214.48,225.83,,27,965,34,30.03,965D6-(E1);
17.06.21 11:25:52,7.28,241.27,238.67,204.24,251.43,250.11,216.67,227.74,229.66,232.54,214.17,224.56,237.7,216.99,206.09,214.79,228.06,216.99,216.67,221.71,229.98,232.86,233.83,229.34,,27,965,34,30.06,965D6-(E1);
17.06.21 11:26:07,7.53,244.53,241.92,197.5,224.88,217.3,204.86,224.56,222.34,221.08,207.95,208.57,233.51,204.86,198.11,205.47,213.85,192.64,223.61,208.57,226.79,222.66,214.17,216.04,,27,965,34,30.06,965D6-(E1);
17.06.21 11:26:22,7.78,236.41,219.5,192.64,217.61,227.1,227.42,219.82,211.05,222.66,215.11,204.86,226.15,199.64,189.92,228.38,216.04,203.32,210.43,206.09,212.29,216.36,211.05,218.87,,27,965,34,30.08,965D6-(E1);
17.06.21 11:26:37,8.03,230.62,233.18,189.62,229.66,233.18,199.33,213.54,212.92,210.74,210.43,218.24,216.67,195.67,194.76,208.26,204.86,203.01,212.92,194.76,218.24,226.79,211.98,224.88,,27,965,34,30.06,965D6-(E1);
17.06.21 11:26:52,8.28,243.55,215.42,203.93,232.22,228.7,212.92,203.93,210.12,210.12,218.87,205.78,211.67,199.03,197.81,217.93,220.76,211.05,208.26,221.08,213.85,222.97,233.51,228.7,,27,965,34,30.08,965D6-(E1);
17.06.21 11:27:07,8.53,232.86,217.93,182.73,236.41,216.99,209.19,212.61,232.54,217.61,207.95,203.32,223.93,193.85,195.98,216.99,197.81,209.81,205.47,208.57,214.48,216.99,223.29,218.87,,27,965,34,30.08,965D6-(E1);
17.06.21 11:27:22,8.78,239.64,221.39,168.28,229.34,220.45,215.11,222.03,213.54,207.33,215.11,201.78,230.62,201.78,183.92,215.73,195.37,195.67,197.81,205.47,215.11,220.13,222.34,216.04,,27,965,34,30.08,965D6-(E1);
17.06.21 11:27:37,9.03,232.22,222.66,188.12,247.81,222.03,196.28,227.42,224.88,215.11,202.09,193.85,208.88,214.79,184.52,203.63,208.57,203.01,209.81,213.23,202.09,218.87,209.81,213.23,,27,965,34,30.09,965D6-(E1);
17.06.21 11:27:52,9.28,231.58,219.19,185.42,244.86,228.7,220.13,238.35,212.29,216.04,214.17,208.57,221.39,214.17,202.7,217.93,200.86,195.37,220.45,203.93,216.67,221.71,215.11,221.08,,27,965,34,30.08,965D6-(E1);
17.06.21 11:28:07,9.53,230.3,215.73,182.13,238.02,230.94,211.36,218.87,234.15,210.12,200.56,208.57,207.33,211.67,196.89,183.03,229.66,198.42,215.11,223.93,222.66,221.39,221.71,224.88,,27,965,34,30.08,965D6-(E1);
17.06.21 11:28:22,9.78,241.92,226.79,200.25,232.22,232.54,209.81,224.24,227.42,225.83,203.63,220.76,225.19,204.55,183.92,210.74,213.23,201.78,208.57,222.34,222.97,227.74,222.34,225.51,,27,965,34,30.08,965D6-(E1);
17.06.21 11:28:37,10.03,223.29,219.5,202.7,230.62,221.71,207.64,214.79,224.88,220.45,209.81,215.11,236.41,207.02,186.02,206.09,226.15,204.55,227.42,213.54,204.86,219.82,219.82,216.04,,27,965,34,30.06,965D6-(E1);
17.06.21 11:28:52,10.28,249.78,243.88,193.85,241.92,218.56,216.36,229.34,229.66,213.23,215.42,204.86,222.34,202.7,198.11,212.92,219.82,203.93,206.71,227.42,214.48,218.24,218.24,217.61,,27,965,34,30.06,965D6-(E1);
17.06.21 11:29:07,10.53,230.62,236.41,188.42,221.08,230.94,224.88,223.93,216.99,215.42,207.33,192.94,224.88,211.05,202.7,206.71,203.63,211.67,206.09,208.88,216.36,220.45,228.7,222.03,,27,965,34,30.06,965D6-(E1);
17.06.21 11:29:22,10.78,237.7,228.38,178.86,226.47,211.05,195.37,222.03,237.7,222.03,214.48,220.76,233.51,209.81,198.42,223.29,219.82,203.32,213.85,207.64,221.71,223.61,228.7,235.44,,27,965,34,30.05,965D6-(E1);
17.06.21 11:29:37,11.03,231.9,220.45,194.46,244.2,218.56,203.01,221.71,228.7,230.62,208.57,214.79,222.34,198.11,192.64,202.4,210.43,203.32,221.08,203.01,219.19,212.92,209.5,215.42,,27,965,34,30.03,965D6-(E1);
17.06.21 11:29:52,11.28,232.86,201.78,175.32,238.35,226.47,214.17,223.93,232.22,227.42,205.78,194.16,230.94,191.43,189.32,220.13,211.05,205.47,229.34,195.07,216.99,223.61,216.99,219.5,,27,965,34,30.03,965D6-(E1);
17.06.21 11:30:07,11.53,231.26,233.51,175.32,230.94,237.38,206.09,239.32,254.74,221.39,217.61,226.47,225.51,188.72,189.02,224.24,217.61,208.26,215.73,213.85,224.24,218.24,226.47,222.97,,27,965,34,30.02,965D6-(E1);
17.06.21 11:30:22,11.78,229.98,215.42,186.32,221.71,225.83,216.67,219.5,216.04,211.67,219.82,207.64,208.57,203.63,199.64,230.94,203.93,203.32,201.48,224.24,203.32,213.23,217.3,216.36,,27,965,34,30.02,965D6-(E1);
17.06.21 11:30:37,12.03,243.88,221.39,182.13,239.64,225.83,205.78,245.51,215.73,207.33,208.88,219.19,220.45,187.82,205.47,235.44,219.19,200.25,217.93,210.74,212.92,220.45,224.56,226.15,,27,965,34,29.99,965D6-(E1);
17.06.21 11:30:52,12.28,241.59,219.5,165.66,217.61,212.61,207.02,205.17,213.23,226.79,205.47,218.87,227.42,193.25,198.11,225.51,204.86,192.04,220.45,220.45,209.19,216.67,210.74,227.42,,27,965,34,29.99,965D6-(E1);
17.06.21 11:31:08,12.55,229.02,248.79,172.67,238.02,237.7,222.03,224.88,225.83,221.39,218.87,208.57,240.29,190.83,193.85,223.93,220.13,204.86,221.39,217.61,220.13,215.73,206.71,226.47,,27,965,34,29.99,965D6-(E1);
17.06.21 11:31:23,12.8,240.29,215.42,180.94,241.92,242.25,241.27,232.22,229.02,226.47,218.56,222.66,217.61,218.24,201.48,228.06,211.36,203.93,211.05,221.08,206.09,222.66,229.34,229.02,,27,965,34,29.98,965D6-(E1);
17.06.21 11:31:38,13.05,225.51,228.06,198.11,229.34,239.97,201.78,237.05,223.93,233.51,216.67,211.05,210.43,189.02,194.16,202.7,216.36,206.4,220.76,214.79,211.36,224.56,220.45,228.7,,27,965,34,29.98,965D6-(E1);
17.06.21 11:31:53,13.3,228.7,209.81,184.52,234.15,219.19,201.78,200.86,206.09,213.85,222.66,209.19,218.24,194.16,199.03,207.02,216.67,205.78,222.03,197.81,212.29,216.36,208.88,211.05,,27,965,34,29.98,965D6-(E1);
17.06.21 11:32:08,13.55,225.51,238.67,188.72,229.02,226.79,217.3,207.02,211.05,219.19,222.97,214.79,238.35,194.46,187.52,210.12,197.2,199.64,228.7,220.76,216.67,220.13,220.13,214.17,,27,965,34,29.96,965D6-(E1);
17.06.21 11:32:23,13.8,229.66,233.83,176.5,222.34,230.62,207.02,212.29,211.05,224.88,224.88,199.94,211.98,212.61,197.2,214.48,201.17,198.72,206.09,225.51,218.24,218.24,204.86,213.85,,27,965,34,29.98,965D6-(E1);
17.06.21 11:32:38,14.05,241.27,218.56,178.86,235.76,225.51,202.7,217.3,224.56,220.13,219.19,202.4,207.33,202.7,199.33,225.83,222.34,202.4,223.93,223.29,206.09,219.5,218.87,225.19,,27,965,34,29.99,965D6-(E1);
17.06.21 11:32:53,14.3,223.29,224.24,167.99,248.14,229.34,204.55,226.47,230.62,215.11,217.93,191.73,220.13,201.17,197.81,227.42,232.86,207.02,227.42,220.13,223.61,217.3,220.13,209.19,,27,965,34,29.98,965D6-(E1);
17.06.21 11:33:08,14.55,234.47,212.29,169.74,232.22,226.47,207.95,216.36,229.98,219.5,224.56,207.02,225.51,188.72,199.94,219.19,208.26,195.37,216.04,225.51,214.17,222.66,218.56,212.29,,27,965,34,29.96,965D6-(E1);
17.06.21 11:33:23,14.8,235.44,237.05,182.73,236.41,236.08,225.19,236.41,240.94,237.7,224.56,200.25,229.66,200.86,185.12,222.97,212.29,207.95,215.42,223.61,226.15,227.1,221.08,227.74,,27,965,34,29.98,965D6-(E1);
17.06.21 11:33:38,15.05,220.76,206.71,171.79,238.67,219.5,218.87,194.46,204.24,207.33,213.54,201.48,209.19,198.42,197.2,225.19,202.4,197.2,212.61,206.09,200.56,215.11,214.79,216.99,,27,965,34,29.98,965D6-(E1);
17.06.21 11:33:53,15.3,242.25,230.94,186.02,232.86,219.82,238.67,244.53,214.79,223.29,216.67,210.43,242.57,211.98,209.19,217.3,221.39,215.11,220.45,196.28,215.11,220.76,222.97,215.42,,27,965,34,29.99,965D6-(E1);
17.06.21 11:34:08,15.55,228.06,234.79,183.62,236.73,239.32,219.5,232.22,221.71,219.5,210.74,221.71,236.08,191.13,233.18,208.57,216.04,203.63,215.11,209.81,211.05,220.45,214.17,225.19,,27,965,34,29.99,965D6-(E1);
17.06.21 11:34:23,15.8,243.22,219.19,177.38,245.18,227.42,189.92,236.73,225.51,216.04,223.93,224.24,255.07,211.67,209.19,238.02,223.61,202.09,213.85,226.79,221.08,226.79,231.26,225.83,,27,965,34,29.99,965D6-(E1);
17.06.21 11:34:38,16.05,233.18,222.34,169.15,238.02,241.59,201.78,222.97,221.08,238.35,215.11,202.7,207.02,203.01,203.32,233.83,224.88,204.55,213.54,208.26,204.86,219.82,214.48,227.74,,27,965,34,29.99,965D6-(E1);
17.06.21 11:34:53,16.3,228.7,203.63,183.92,212.92,228.7,214.17,198.11,216.36,213.23,190.53,199.64,228.06,187.52,175.02,222.66,215.11,203.32,215.73,219.5,205.17,211.36,211.98,214.79,,27,965,34,29.99,965D6-(E1);
17.06.21 11:35:08,16.55,229.98,238.67,164.5,217.93,225.83,219.82,221.08,225.51,221.39,201.17,193.85,199.94,201.78,197.81,225.51,226.79,205.17,213.54,217.61,208.88,221.08,206.4,219.5,,27,965,34,30,965D6-(E1);
17.06.21 11:35:23,16.8,230.3,229.66,167.7,231.9,224.24,211.05,231.58,245.51,222.97,216.67,223.29,239.32,216.36,203.01,218.87,211.05,195.07,217.93,227.42,199.94,224.56,211.05,222.34,,27,965,34,30,965D6-(E1);
17.06.21 11:35:38,17.05,229.34,223.61,167.4,235.12,213.85,200.25,216.36,222.03,194.76,207.64,224.24,217.61,208.26,160.45,233.51,207.95,201.78,205.17,177.68,192.94,215.11,222.97,208.26,,27,965,34,30,965D6-(E1);
17.06.21 11:35:53,17.3,233.83,231.26,189.32,238.02,229.34,208.26,237.05,229.98,221.71,221.08,208.88,222.97,209.19,198.42,250.11,213.54,226.47,222.97,216.99,211.67,212.92,215.11,214.79,,27,965,34,30,965D6-(E1);
17.06.21 11:36:08,17.55,241.92,230.3,168.57,228.06,214.79,209.19,198.72,221.39,216.04,217.93,207.33,219.19,206.09,200.56,222.66,211.67,204.55,200.56,230.94,221.71,218.56,220.13,219.82,,27,965,34,30.02,965D6-(E1);
17.06.21 11:36:23,17.8,231.58,227.1,184.52,252.09,226.47,209.5,239.32,224.24,225.51,209.19,209.5,232.22,212.61,210.43,225.83,224.88,205.47,227.74,223.29,218.56,221.39,224.88,222.97,,27,965,34,30.03,965D6-(E1);
17.06.21 11:36:38,18.05,239.64,241.27,177.09,224.88,210.43,214.79,211.98,218.87,216.67,221.08,209.81,216.99,187.22,211.67,217.3,213.54,202.4,209.81,205.47,217.93,223.61,226.15,224.88,,27,965,34,30.03,965D6-(E1);
17.06.21 11:36:53,18.3,236.41,214.79,167.7,218.24,225.19,225.83,232.54,209.81,232.22,215.42,212.29,231.9,203.32,216.36,224.56,216.04,193.85,210.74,225.83,215.11,222.03,222.97,214.79,,27,965,34,30.03,965D6-(E1);
17.06.21 11:37:08,18.55,232.86,218.56,170.91,224.24,226.47,217.61,213.23,204.55,218.87,212.29,195.67,240.62,196.28,206.71,225.51,209.19,211.36,213.54,212.61,223.93,222.66,216.36,216.99,,27,965,34,30.05,965D6-(E1);
17.06.21 11:37:23,18.8,237.38,234.15,177.68,248.79,223.93,243.88,209.19,237.7,224.24,221.39,219.19,219.5,216.04,196.28,252.42,221.71,201.48,230.94,205.47,219.82,223.61,227.74,230.94,,27,965,34,30.03,965D6-(E1);
17.06.21 11:37:38,19.05,235.44,215.11,175.32,228.38,225.19,211.98,231.58,246.17,231.26,210.43,218.24,221.39,214.17,185.12,252.42,249.78,207.64,200.25,235.44,216.36,225.51,231.26,222.03,,27,965,34,30.06,965D6-(E1);
17.06.21 11:37:53,19.3,228.06,216.67,189.02,219.19,235.12,205.17,234.79,229.34,220.13,227.1,211.67,216.99,192.04,192.64,234.79,214.17,195.07,212.92,215.11,208.26,226.47,218.24,222.97,,27,965,34,30.06,965D6-(E1);
17.06.21 11:38:08,19.55,234.15,243.88,167.7,241.59,233.18,233.83,209.5,224.24,214.48,221.08,212.29,239.64,214.79,195.07,224.88,220.13,209.19,203.01,209.19,194.16,222.03,222.03,222.03,,27,965,34,30.08,965D6-(E1);
17.06.21 11:38:23,19.8,237.7,242.9,172.67,226.15,224.24,226.47,228.06,229.02,209.19,220.76,199.33,227.42,207.33,195.07,241.92,214.79,208.57,203.93,184.22,220.13,221.39,219.82,211.98,,27,965,34,30.08,965D6-(E1);
