Date,DateTime,Time,Treatment,Tank,LarvaeStart,Number Plugs,Settled
20210621,6/21/21,1400,Ambient,A1a,100,3,5
20210621,6/21/21,1400,Ambient,A1b,100,3,5
20210621,6/21/21,1400,Ambient,A2a,100,3,1
20210621,6/21/21,1400,Ambient,A2b,100,3,0
20210621,6/21/21,1400,Ambient,A3a,100,3,0
20210621,6/21/21,1400,Ambient,A3b,100,3,3
20210621,6/21/21,1400,Ambient,A4a,100,3,0
20210621,6/21/21,1400,Ambient,A4b,100,3,4
20210621,6/21/21,1400,Ambient,A5a,100,3,3
20210621,6/21/21,1400,Ambient,A5b,100,3,0
20210621,6/21/21,1400,Ambient,A6a,100,3,7
20210621,6/21/21,1400,Ambient,A6b,100,3,1
20210621,6/21/21,1400,High,H1a,100,3,0
20210621,6/21/21,1400,High,H1b,100,3,0
20210621,6/21/21,1400,High,H2a,100,3,2
20210621,6/21/21,1400,High,H2b,100,3,1
20210621,6/21/21,1400,High,H3a,100,3,1
20210621,6/21/21,1400,High,H3b,100,3,3
20210621,6/21/21,1400,High,H4a,100,3,3
20210621,6/21/21,1400,High,H4b,100,3,1
20210621,6/21/21,1400,High,H5a,100,3,4
20210621,6/21/21,1400,High,H5b,100,3,1
20210621,6/21/21,1400,High,H6a,100,3,0
20210621,6/21/21,1400,High,H6a,100,3,3
20210622,6/22/21,1215,Ambient,A1a,100,3,6
20210622,6/22/21,1215,Ambient,A1b,100,3,4
20210622,6/22/21,1215,Ambient,A2a,100,3,2
20210622,6/22/21,1215,Ambient,A2b,100,3,4
20210622,6/22/21,1215,Ambient,A3a,100,3,0
20210622,6/22/21,1215,Ambient,A3b,100,3,5
20210622,6/22/21,1215,Ambient,A4a,100,3,5
20210622,6/22/21,1215,Ambient,A4b,100,3,7
20210622,6/22/21,1215,Ambient,A5a,100,3,3
20210622,6/22/21,1215,Ambient,A5b,100,3,1
20210622,6/22/21,1215,Ambient,A6a,100,3,8
20210622,6/22/21,1215,Ambient,A6b,100,3,2
20210622,6/22/21,1215,High,H1a,100,3,5
20210622,6/22/21,1215,High,H1b,100,3,3
20210622,6/22/21,1215,High,H2a,100,3,4
20210622,6/22/21,1215,High,H2b,100,3,2
20210622,6/22/21,1215,High,H3a,100,3,1
20210622,6/22/21,1215,High,H3b,100,3,5
20210622,6/22/21,1215,High,H4a,100,3,6
20210622,6/22/21,1215,High,H4b,100,3,6
20210622,6/22/21,1215,High,H5a,100,3,7
20210622,6/22/21,1215,High,H5b,100,3,1
20210622,6/22/21,1215,High,H6a,100,3,0
20210622,6/22/21,1215,High,H6a,100,3,3
20210623,6/23/21,1615,Ambient,A1a,100,3,6
20210623,6/23/21,1615,Ambient,A1b,100,3,5
20210623,6/23/21,1615,Ambient,A2a,100,3,3
20210623,6/23/21,1615,Ambient,A2b,100,3,5
20210623,6/23/21,1615,Ambient,A3a,100,3,2
20210623,6/23/21,1615,Ambient,A3b,100,3,9
20210623,6/23/21,1615,Ambient,A4a,100,3,7
20210623,6/23/21,1615,Ambient,A4b,100,3,6
20210623,6/23/21,1615,Ambient,A5a,100,3,3
20210623,6/23/21,1615,Ambient,A5b,100,3,5
20210623,6/23/21,1615,Ambient,A6a,100,3,8
20210623,6/23/21,1615,Ambient,A6b,100,3,5
20210623,6/23/21,1615,High,H1a,100,3,8
20210623,6/23/21,1615,High,H1b,100,3,7
20210623,6/23/21,1615,High,H2a,100,3,4
20210623,6/23/21,1615,High,H2b,100,3,2
20210623,6/23/21,1615,High,H3a,100,3,4
20210623,6/23/21,1615,High,H3b,100,3,5
20210623,6/23/21,1615,High,H4a,100,3,6
20210623,6/23/21,1615,High,H4b,100,3,9
20210623,6/23/21,1615,High,H5a,100,3,10
20210623,6/23/21,1615,High,H5b,100,3,1
20210623,6/23/21,1615,High,H6a,100,3,0
20210623,6/23/21,1615,High,H6a,100,3,3
20210624,6/24/21,1900,Ambient,A1a,100,3,6
20210624,6/24/21,1900,Ambient,A1b,100,3,6
20210624,6/24/21,1900,Ambient,A2a,100,3,7
20210624,6/24/21,1900,Ambient,A2b,100,3,8
20210624,6/24/21,1900,Ambient,A3a,100,3,11
20210624,6/24/21,1900,Ambient,A3b,100,3,11
20210624,6/24/21,1900,Ambient,A4a,100,3,13
20210624,6/24/21,1900,Ambient,A4b,100,3,6
20210624,6/24/21,1900,Ambient,A5a,100,3,10
20210624,6/24/21,1900,Ambient,A5b,100,3,9
20210624,6/24/21,1900,Ambient,A6a,100,3,9
20210624,6/24/21,1900,Ambient,A6b,100,3,12
20210624,6/24/21,1900,High,H1a,100,3,15
20210624,6/24/21,1900,High,H1b,100,3,13
20210624,6/24/21,1900,High,H2a,100,3,4
20210624,6/24/21,1900,High,H2b,100,3,2
20210624,6/24/21,1900,High,H3a,100,3,22
20210624,6/24/21,1900,High,H3b,100,3,9
20210624,6/24/21,1900,High,H4a,100,3,9
20210624,6/24/21,1900,High,H4b,100,3,12
20210624,6/24/21,1900,High,H5a,100,3,16
20210624,6/24/21,1900,High,H5b,100,3,8
20210624,6/24/21,1900,High,H6a,100,3,0
20210624,6/24/21,1900,High,H6a,100,3,3
20210626,6/26/21,1100,Ambient,A1a,100,3,10
20210626,6/26/21,1100,Ambient,A1b,100,3,8
20210626,6/26/21,1100,Ambient,A2a,100,3,17
20210626,6/26/21,1100,Ambient,A2b,100,3,7
20210626,6/26/21,1100,Ambient,A3a,100,3,18
20210626,6/26/21,1100,Ambient,A3b,100,3,14
20210626,6/26/21,1100,Ambient,A4a,100,3,16
20210626,6/26/21,1100,Ambient,A4b,100,3,6
20210626,6/26/21,1100,Ambient,A5a,100,3,10
20210626,6/26/21,1100,Ambient,A5b,100,3,9
20210626,6/26/21,1100,Ambient,A6a,100,3,11
20210626,6/26/21,1100,Ambient,A6b,100,3,18
20210626,6/26/21,1100,High,H1a,100,3,15
20210626,6/26/21,1100,High,H1b,100,3,13
20210626,6/26/21,1100,High,H2a,100,3,4
20210626,6/26/21,1100,High,H2b,100,3,3
20210626,6/26/21,1100,High,H3a,100,3,23
20210626,6/26/21,1100,High,H3b,100,3,13
20210626,6/26/21,1100,High,H4a,100,3,9
20210626,6/26/21,1100,High,H4b,100,3,12
20210626,6/26/21,1100,High,H5a,100,3,16
20210626,6/26/21,1100,High,H5b,100,3,8
20210626,6/26/21,1100,High,H6a,100,3,1
20210626,6/26/21,1100,High,H6a,100,3,4