sample,isotope,treatment,tank,tube,Glutathione disulfide,Lysine,NADP+,5-Hydroxylysine,Citrate,Arginine,Ornithine,Homoarginine,Glucose-6-phosphate,Phosphocholine,L-arginino-succinate,Isocitrate,GMP,CMP,Fructose-6-phosphate,NG-dimethyl-L-arginine,Aconitate,UDP-D-Glucose,CDP-Choline,UMP,Ribose phosphate,NAD+,ADP-D-Glucose,Dihydroxyacetone phosphate,Glycerol-3-phosphate,UDP-N-acetyl-glucosamine,AMP,N-carbomoyl-L-aspartate,Glucose,Arginine-Glutamine,Malate,Aspartate,Glutamate,2-Hydroxyglutarate,N-Acetylaspartate,FAD,Succinate,N-acetyl-glutamate,Inositol,Glycerophosphocholine,a-ketoglutarate,Asparagine,Serine,Glutamine,S-adenosyl-L-homocysteine,Methionine sulfoxide,Glycine,Threonine,Alanine,Hydroxyproline,Hypotaurine,Uric acid,Thiamine,Proline,Sorbitol,Theanine,N-Acetylputrescine,Valine,Tyrosine,Glycerate,Taurine,Ribitol,Pantothenate,Isoleucine,Lactate,Leucine,Phenylalanine,Guanine,Tryptophan,Creatinine,Hypoxanthine,Uridine,Adenosine,Pyruvate,Adenine,Uracil,Phenyllactic acid,Thymidine,Montiporic Acid C,Montiporic Acid A,Montiporic Acid B,Montiporic Acid D,3-Phosphoglycerate,Carbamoyl phosphate,Citrulline,Guanosine,Inosine,Mannose-6-phosphate,Thymine,Xylose-5-phosphate
12C_Ambient-A1_I7,12C,Ambient,A1,I7,0.008157320205186438,1.230158415451406,0.06483509899077045,0.2141001873382991,1.5282621865174144,0.09464797080953367,0.2578266274151463,0.06052628997463468,1.2994362055911268,0.28734077756845305,0.013953759367187598,3.17104429861376,0.6277934040110316,0.47543875012365977,1.036317587160273,0.028420639305576055,0.9251859472540208,0.10396634692021459,0.13238521886756055,1.9399347954255062,0.3958200538408316,0.15804947803894465,0.044131684196331164,0.5442050586238137,1.0554393148594106,0.2816901835678772,1.8558182978896358,0.016651526350255075,2.793634680758095,0.3071216072114644,3.422291930986885,1.1904550613681106,3.5753033656497037,1.9560255254244712,0.31312613911392406,0.025752806774628375,2.7426552665024757,0.2620078540382281,2.0129194294389605,0.20860736053628387,1.0606013475913003,0.4785629307399225,1.1483678503636556,3.1105550099913994,0.02673718893935358,0.510496894927249,1.0815391434916002,1.2258669968915288,1.4006843511140636,0.18900199917000085,0.026676833402941334,0.06169242876523129,0.04199269512244886,0.9020985639370256,3.0819194177935834,1.2959958708176924,0.037673878960916965,1.2834978297201423,1.3000083712436479,0.24086341813267112,1.011375587214488,1.0968904982760996,0.9595470021141653,1.3528321897971807,2.7324144560249373,1.827708724017018,1.1817915806411803,0.45828141648872617,0.7651886119928952,0.07108781028095713,0.08970666271126747,1.092472940430065,1.4566379946126475,0.7956582146121228,2.480316032768372,0.12113695582959716,0.09107921180055861,0.18643850465877285,6.588417863539335,5.281149217687733,3.2775972847778623,4.15865654838368,0.12005412481392155,0.0991837000104565,0.08722291287396508,0.919760373842124,0.5524843545749493,0.7544905938494182,0.13838201555596788,0.18926316881143396
12C_Ambient-A2_I8,12C,Ambient,A2,I8,0.002728178331866633,1.2369147554270057,0.05695702176583702,0.19559621024874907,1.1994261277823628,0.24691752958168903,0.46145979002802834,0.05154411906519467,1.2965754809013625,0.2910834783898459,0.014796430343216595,3.5458019991735745,0.7341315544460568,0.33004034796882686,1.0009802570281408,0.02776238727450026,1.539316912610365,0.41624136839401144,0.15308384639678332,1.7892061340231313,0.40989068384927974,0.2094948364847071,0.06357836572219988,0.5552276022834296,0.9961590926499349,0.9039877750022726,2.1928673252162607,0.02690458629300573,2.708114089118019,0.24903044201198654,3.2250144492961828,1.0029583948957583,3.2833110826891447,1.740203062210488,0.27223630150727757,0.04044455566493872,2.978232839085384,0.25564421655239833,1.8864024034128086,0.18179575163647785,1.1394810471927195,0.3913891433255673,1.2988308412063758,2.982890506575443,0.00340370315341619,0.57201136687604,1.4073636713257167,1.107315225718793,1.323993651838227,0.12530500801133004,0,0.015501740278975306,0.010784744493653601,0.9364262912352084,3.117784116732703,1.4057290776926485,0.042195750544147134,1.245307553236561,1.0994823586905729,0.2191919894733764,1.257243740416682,0.9498358007017133,1.0207328615068854,1.346165637405669,2.617138787425543,1.670845374574363,1.0278237880512822,0.5090888097653223,0.4886319248832328,0.05182948256090739,0.06752534946747898,0.7472688894016228,1.1406321265219166,0.8341741485321587,2.126854549312573,0.09493499594187157,0.08199971943268455,0.1614655340505045,7.302140819968977,5.920867515287683,3.6455925032387917,4.210736606360277,0.1552649340553117,0.07462927687019341,0.07555277435565107,0.6021105840620149,0.650411036919371,0.7546577296677511,0.08272723856839112,0.16645123545988827
12C_Ambient-A3_I9,12C,Ambient,A3,I9,0.005019261548358776,1.1172418238017605,0.10775937747317034,0.160037470538605,1.0822821652766748,0.46195178314086327,0.7034414207370889,0.046555288406686136,1.3956019124225445,0.3191591748792867,0.007967807409409413,1.1333684219479172,0.8631970639075852,0.14609465116468393,0.7058956363945813,0.02286925095683261,0.9963331325592585,0.9280632840367672,0.2373253797472269,2.298702992725782,0.13942638875732347,0.6521188080026176,0.0937709604595558,0.43927709917607793,0.9047919836529362,1.492623670882125,2.703064827720798,0.039735586096603714,2.673751851639739,0.26030506535900066,2.8667728522822378,0.8523647197946644,3.036740622402333,1.7681186159050784,0.325899016791126,0.07677234162615947,3.352565455640789,0.27941297545945093,2.2374639188259775,0.13254152486626,1.8735271482050904,0.3728549063300365,1.908091519104533,2.6984666473644796,0.007127029230428899,0.4126901300935976,2.1320877999738337,1.0403121874894985,1.2550694053867462,0.1821323459946213,0,0.012427503565625322,0,0.9867011510865411,3.333997249344206,1.052467249272258,0.01899367781563045,0.9883012881658669,1.0477802632291464,0.44281788713443787,1.5433342260366512,1.2839818946706412,0.9021276651702956,1.1544510635754286,2.1850134110924695,1.6370671747420054,1.0307547948120743,0.6827458657950534,0.09729058472346398,0.10146927873455454,0.0795854924745802,0.7884467456984134,0.6003406706056226,1.0412908087791324,1.1891281819704047,0.1467194314197249,0.03623950495885171,0.21978443565245012,8.025272075240192,6.745118377513723,4.530139307364161,5.113746866981206,0.054786798372456307,0.13900262855553897,0.09471041387347956,0.30772187970042447,0.21653563518831936,0.6628084468155974,0.12777919010662367,0.0046252042382189645
12C_Ambient-A4_I10,12C,Ambient,A4,I10,0.007407282520229512,0.9234134139780726,0.0644624249863854,0.173483824889595,2.3936651064634047,0.04733462418183906,0.15047804318145555,0.04727704127547685,1.2037904835978377,0.24722149337354352,0.019209058356992357,1.7049478800454518,0.4115095468091802,0.46121818341831033,0.9433745480375424,0.029872983226138853,0.8512897120152162,0.04594796562597493,0.1030297227072184,1.9660206939083453,0.39640752183112604,0.18815237851355798,0.03672972095864434,0.4216938741487285,0.728082538859449,0.10530682426597947,0.9665787305624941,0.022227592293920528,2.610455587227372,0.31188687687953826,3.023681946686074,1.1482194932263754,3.4472925730427226,1.5900253303591494,0.2549575394123177,0.024825205529758736,2.5102831406246295,0.21209680427059938,1.9189485571530631,0.2773797142017453,0.8314564923709091,0.40655853514359014,0.7306307197325921,2.8633056826097985,0.02782327879680449,0.22723614891348778,0.577691320653339,0.9625648789520121,1.0589342225146758,0.15940542696520155,0.07778898120917266,0.013478976760106285,0.07610894959692492,0.8929875584307647,3.0521555704215513,1.0140871782155767,0.03323949478734569,1.1232529927572223,1.323064753892314,0.29659315055033403,0.9012842199862505,0.7317319685895965,0.9780682746832323,1.1635029188467172,2.3322564104928043,1.571991818760911,1.099245805212006,0.7615061675556024,0.7629844333695149,0.15627009350672663,0.0748213843696835,1.2266994344510458,1.6655758182486535,0.6612660589038428,2.339362528982066,0.1229081873614602,0.09789579259558909,0.1944006933858041,6.703659086922964,5.438873444505303,3.5250012527140195,4.507333006705667,0.08207161720524679,0.11290220031941844,0.09317092344018034,1.1470132521913026,0.7240432209392184,0.726953749101482,0.11883197322383413,0.010463647006891518
12C_Ambient-A5_I11,12C,Ambient,A5,I11,0.003134310467324603,1.0435332267678683,0.06048748444561549,0.169881846676132,1.2923339053425873,0.20261798634491135,0.43025974444562465,0.050547918558931,1.2014186628107755,0.23572156512329062,0.014153077260147378,3.1052786726037134,0.46611008040038876,0.27726809960607046,0.9313871815359712,0.021292778124232747,1.405935364876796,0.13590123566741436,0.0789384802127145,1.8229585036999951,0.31705823522850324,0.2473360104368109,0.04618050479706486,0.4544322233762478,0.8273918406248829,0.33943437238332747,1.5664908515727385,0.00964899825198193,2.658639030696026,0.18481885352581712,3.9023237767128793,0.9480043348976769,3.1487737722906046,2.1132040587073626,0.2864612390958743,0.02837908084555121,3.383384657890436,0.22620459719819627,1.6814585725855073,0.14848620107481908,0.89849580967035525,0.37228203090344597,1.356949929717116,2.7138992898782734,0.009727221400540739,0.48410308899973553,1.4232490460872573,1.1752052525381405,1.0578819133993391,0.15595247235444276,0,0,0.043276837258791216,0.939074955949925,2.862923661864534,0.8791848291105643,0.024907043221413173,1.1225121090819243,1.1089038364776147,0.26673950672041147,1.7019782234176513,0.8097692043475668,0.7686618835682739,1.1208815020044978,4.176219205066099,1.3787940290557588,0.7988202080204921,0.7324608536804282,0.42915463193247155,0.10799598692633097,0.07753079845934771,0.9731589799194948,1.5659211746245105,0.9011202086307916,2.777227467033209,0.15433855022949491,0.09805048757990709,0.20122709694039667,7.745671139729877,6.873606349374925,5.395033934111656,6.557625606501124,0.07216647001480696,0.17985448623926467,0.06922284998996356,0.8229316641211297,0.8074784298656623,0.6522244696558427,0.05591903794155452,0.12973968744032952
12C_Ambient-A6_I12,12C,Ambient,A6,I12,0.011570924717823665,0.9179883449290873,0.09160820851232618,0.1444656496488226,1.875372344276912,0.03563153640652446,0.134361345876535,0.057804794951548485,1.2040498414038532,0.2330013094823503,0.015519651057525055,0.751549565931582,0.4247063551426737,0.39409239782763783,0.9130896678378214,0.028648704147166356,0.9690516745696011,0.07262268616991702,0.10333742691219014,1.925134449335564,0.31528704058147455,0.30102389571347743,0.03460095406652718,0.48577127398739917,0.8177159858739005,0.16599109875853743,1.2716075429474494,0.009878385629245185,3.103853898803667,0.371820605649882,2.8593554188501384,1.0750944206600002,3.3191240300561433,1.5640008309921178,0.18958672968884782,0.016591661230247783,2.4665404352039393,0.18992436724309503,1.9076712183815605,0.29544094407363103,0.8257489711654762,0.37845473518501016,0.6630660305234373,2.8119245088027363,0.01720928827620224,0.22032818067997123,0.5883218860074318,0.9039160722857693,1.16096085343513,0.19596492068815616,0.12089997639591267,0.04930791924157685,0.02309571517968016,0.8159146925625177,3.309289333688412,1.125115146901686,0.02452681446762753,1.0480828081890272,1.3728056716784716,0.3282461493023489,1.215305679560932,0.8762317848524692,0.9201168230919652,1.175320326537943,2.7611865730728713,1.6661191645166726,1.1233641929493212,0.7223498173886268,0.8490637611439317,0.0666292569491828,0.11167760321937953,1.0509384976329559,1.6656459105870545,0.7593385300768452,2.4193687287972723,0.11004096224329045,0.12013651759883172,0.2040416974058044,6.992819152069609,5.653011515778152,3.8279630764546715,4.744030109075252,0.04188141691182922,0.1309518414539031,0.08708038953792567,1.0813841048070276,0.9498395154347747,0.724847614761312,0.12639485654854887,0.16506124583969922
12C_High-H1_I27,12C,High,H1,I27,0.005280795103561942,1.010971121643005,0.23985585196213494,0.2434465847156349,1.7624145273456522,0.02691287408214186,0.29770584081374274,0.07056273939336474,1.2901782033739049,0.30703430107398105,0.018863792325496308,3.5324646209253814,0.9346385555303905,0.5121586377910203,1.0100026500799029,0.01694659376267741,1.4105302628093812,0.37252046929173754,0.1519859810187134,1.919662710817662,0.21203975076184595,0.6097594615348362,0.08754554974111316,0.37523038082443705,1.041298677381983,0.936835700040312,2.1736431784827936,0,3.203238619935063,0.2974684978084047,4.646733435332113,1.1743750671224464,3.527635524341497,2.5079600866568095,0.2742191097628013,0.041334593739505196,3.5045655923450885,0.19812471857925887,2.3252757659725942,0.13148462328904845,1.0365456203767205,0.3822121239039856,1.2986389910711937,2.8725693208169067,0.01830313071349002,0.3478195873902366,1.3446000975486054,1.5259202229173063,1.2511499099156678,0.22082551811874007,0.12419605397938617,0,0.02491862371730729,0.9173405438101095,3.1135577760523634,0.3668154623737324,0,0.9345027722656764,1.2965395970347677,0.3459535681368781,1.3661044648943852,1.087480230880238,1.0969307930044032,1.0467035061483667,5.289921707040726,1.5186898284279642,1.2485950483875579,0.524160556356821,0.6038796047606935,0.12765111124422815,0.08578945138348001,1.1822232890269,1.943777971403205,1.0695620552032457,3.102458862247342,0.23106429369788134,0.281734350771057,0.2190828916567123,7.187704585344177,5.74107351587025,3.5322592585072017,4.279557964034309,0.13702541225467407,0.22852581174634523,0.032057406705682405,1.24584058549813,0.4507422340610796,0.7701134265547507,0.10771622976574954,0.03376920889639177
12C_High-H2_I28,12C,High,H2,I28,0.004938210344462213,0.880343509748406,0.15673704122582635,0.14278034240758497,0.8880629594248094,0.24644682988830977,0.5438235995609957,0.05561520558895589,1.1593547450924786,0.2657073137507483,0.011496263159879677,2.57219192654903,0.8017969981980971,0.2792741322043674,0.7681463965370796,0.019929971788452225,1.569313357472575,0.8607704563811679,0.22958538500928968,1.6324339492010382,0.16097180322416924,0.7642208612512024,0.09864656114128273,0.5278361548717789,0.9447152323772356,1.6349161038704352,2.523841284413945,0.05731426091424586,2.925362826148246,0.39184997806882055,3.03749290190155,0.8469703918612291,3.17671434534765,1.6962032025961347,0.2972118561789277,0.05263319734346706,3.1411750003524816,0.18644954317600593,2.246743982833589,0.18272592209446886,1.2377940919244146,0.4082836884582915,1.5776587145240462,2.6449848506848794,0.007703305136506254,0.2854630879850727,1.7980911556604318,1.2546280683173827,1.0954503808175016,0.16395535793673302,0,0.014191261326834775,0.009567222438123623,0.7542107990177808,3.2431263737897775,0.6737674907391807,0.01984124139403668,0.7121584270094254,0.7494331460802821,0.26822037095130613,1.3244943880622426,1.0074002709831011,0.965085263439473,0.8366196510317834,2.4685972305378656,1.1452155275769929,0.8941303591190882,0.6182270893082841,0.22105090989129297,0.06549781654443641,0.0765525526756201,0.8559280281974624,1.3352919986423328,0.886605492985219,2.388398340038463,0.09910739867625444,0.0844121322267859,0.09700063971850167,7.6440401286836765,6.261477025082462,3.9315056503124906,4.531906413731925,0.05378383678969363,0.11573011670665997,0.06699761224265334,0.538822348814371,0.45053680560426207,0.6014030119534781,0.08789264805489717,0.11588106647156612
12C_High-H3_I29,12C,High,H3,I29,0.0054147191088201405,1.0058228431887248,0.13743451870281342,0.18817338492956373,0.7384074356466034,0.24247157502655325,0.49374284755528,0.06397819280872921,1.3305540648010739,0.3399249619609936,0.011557903325418908,1.0597000380339745,0.836968318359022,0.3397921076363908,0.9464135004870189,0.021764539768827963,1.5806708581312852,0.6649266531274998,0.23730360797655012,1.9665200157823397,0.24925447463971723,0.7140429151368308,0.10559870891802539,0.510113043638081,1.1724117950176582,1.44601195874456,2.6999123688487,0.03487072095087345,3.2231947898765925,0.557877226956542,3.197338196669789,1.1958592416080223,3.5886009630435365,1.732388418777708,0.2758981632874082,0.052576436571216856,3.027019170795579,0.17946392829738014,2.567165320806672,0.20537948303724163,1.1257242390289381,0.5106639026506581,1.5561389124903724,2.858299497106511,0.007549486186227282,0.372798128196885,1.7880463032935723,1.1180190852951937,1.2530946161961984,0.16831062424965917,0,0.02649560598535406,0,0.9565920884951943,3.217542723678581,0.4169678405402927,0.008742815168824188,0.8034448439125221,0.9777245954882456,0.3888956785803795,1.2149896221435328,1.2826342167070754,0.8499593128968758,1.0509875643192672,2.1036403638070924,1.4601967090875172,1.1570345546590102,0.6084658054838478,0.40922553626776953,0.10487093265105334,0.13933393349317458,1.2590572653220267,1.6929452274538768,1.0303807077049871,2.8010538920254646,0.17829660372251238,0.14095410226995786,0.175404075676222,7.517808255209822,6.074430844015797,3.8772270964902344,4.6803364443634665,0.050260227941780186,0.1334584773545449,0.08697822738819846,0.8218441983736716,0.35462411607080807,0.6718054788763577,0.1374297745813135,0.13361334519789067
12C_High-H4_I30,12C,High,H4,I30,0.0069881910552159554,0.8498062304033009,0.16508201095683422,0.14743015342198768,0.04854456839327076,0.4271767662236096,0.5437402428045859,0.056320685086616674,1.3210800380016783,0.39145640559997635,0.00712729332585431,0.5457085687693063,0.5442303407504147,0.4486981430201192,0.8531855146396456,0.01456899818334922,1.8053622749615401,0.9410719620533103,0.28167627962200736,2.6486865770838195,0.21837841630599306,0.8779406714466528,0.05611798833118901,0.7710307222043788,0.8767384165226866,1.5116649027011204,2.740300108116904,0.2039864136778413,3.373516389526585,0.7098684392477769,2.947938007273722,0.5454043121844931,2.1015086807927723,2.4674596242767426,1.538385134524866,0.05650018877004995,4.0724005433797625,0.42648920404854695,2.5414857095039256,0.2666609513885223,1.459548582576924,0.5262427617092619,2.2316546746011934,2.585735950839786,0.007858387470863377,0.23770681356431422,2.5541245082988673,1.3675986552617712,1.2577897853510673,0.19194705602987303,0,0,0.01893105880122692,0.7785974581851667,3.6854808076870547,0.6761415597491599,0.01100916440092207,0.997622148019224,0.5013183313496522,0.6227628907639106,1.6669898022686254,1.1485659731037057,1.1767839380028102,1.07298890922042,3.5991894751229694,1.2988760413082179,1.2618075516629284,0.6434343748153508,0.05071422012212944,0.3273824693527052,0.1797881726539918,1.021740505782653,1.7667114890311688,0.9124619939471069,2.804825979053735,0.15868702284865707,0.219681933764881,0.21603170429705845,8.549238810797059,7.407087525924338,5.39632240599276,6.071999779160465,0.01812207306052514,0.2988835389677167,0.0930652906222083,0.4857503493446243,1.0201943954901695,0.754882922943417,0.2006404794172215,0.1559627071602849
12C_High-H5_I31,12C,High,H5,I31,0.0061424392882546315,0.7958521712904941,0.14230664075673874,0.12748330337510644,1.0262342041977421,0.4002290728740355,0.578228241735727,0.05391113675915108,1.565303525378583,0.4084338094109289,0.012343964681039968,1.7522481950759874,0.8184072340666209,0.3502891629274315,1.001432264995437,0.010038075090121721,1.3134273176243934,1.0057160951379562,0.19930312893184113,3.257273929538871,0.27631010915885706,0.6953071553060366,0.10768235586138593,0.5212061536813625,0.7468314256162693,1.169863566284416,2.430337957863958,0.10656508290041139,2.520331122009656,0.433981610217757,2.9053123436394666,0.9840517079867419,3.1373774529821064,2.0041212675587037,0.3645328568995577,0.08107587372170567,3.4855835158306405,0.2650093052460206,2.5169428607151327,0.3517301443516828,1.6485069953302283,0.35027453425827665,2.116291197185707,2.4038436884098218,0.007352763494305431,0.19566721865549302,2.2285131378996237,1.2202339659961328,0.9824753025025084,0.08464595297565798,0,0,0.1082648760528215,0.8264591812211631,3.7124654749608643,0.5458440931309204,0.00687920825332695,0.6226224968213641,0.9149856816273695,0.5490411134604393,1.4142276675270808,0.5936707442035596,1.2470794225897246,0.6342069616905583,2.558967609041827,1.055428239065785,0.784749256162728,0.8392167455484081,0.05076334209136337,0.12701961631054468,0.10494273703766833,0.8862835504613533,1.6224491258921192,1.0391648542145064,2.2150609483189574,0.14307947457993142,0.0961046801488975,0.16157989554503074,7.869644891790236,6.729228623445113,4.64783765389978,5.391158246598969,0.06747026730583343,0.22198624034563583,0.07250947921391487,0.6909825302219682,0.8010919596304708,0.8678683221107527,0.05023531249331989,0.16768637711137063
12C_High-H6_I32,12C,High,H6,I32,0.00921647227731053,0.7924403796926026,0.17336625883487253,0.14475503515872643,0.7056174642968005,0.158521527881947,0.33476896157370273,0.04710810001766424,1.3275145514729119,0.2468058662106967,0.009469443310250734,2.18037650059287,0.6805194230373676,0.3481070337135814,0.9338563610751479,0.01693799909376391,1.1645741995139953,0.37003806137684897,0.15836284902801492,1.9800722381357465,0.18657085582064512,0.6226901580341175,0.0660166977703003,0.4785043421051571,0.7840220684554419,0.706310274525063,1.9929913512882036,0.022181234150946492,2.9900332873145263,0.3752012855465175,3.0902599081532425,1.0258172176743388,3.31452857527049,1.825927730104861,0.20181059512010394,0.035710225144147,3.4227209434734616,0.1409099124303681,2.2734725167794085,0.17054804319349678,0.9246775123621679,0.34830349661513216,1.097811720771069,2.552188323450405,0.004699591112345347,0.28440598199651734,1.2522406205121603,0.8453293397525723,0.7835994376139916,0.14477573341975827,0,0.012041857216657495,0,0.7740691619404684,2.9858764675671847,0.8331542352412947,0.016580615893827547,0.5872527356476288,0.9773587708240656,0.32011291697151556,1.0116648186152746,0.9356458611109784,0.7556981184471743,0.7561336021262951,2.6233466332395126,1.1708427670726473,0.8927807388375641,0.615972023095116,0.3907470458982119,0.07297811548538957,0.055985348525137514,0.8162135895705228,1.611575493214757,0.9165264146768587,2.5898272361040466,0.09297798993253671,0.0885982341248429,0.10617509442137132,7.646752085705686,6.524641881820636,4.592791556952813,5.4382146801356015,0.040709868622588685,0.12825369589785876,0.07652706590607582,0.8513998960880594,0.7729412726980802,0.74884919722234,0.06506793121000312,0.12430633635210894
