Measurement Name :,Plate1_20211204_Alex_27C,,Generated On :,"09/12/2021, 12:09:19",,,Calibration details for Oxygen,,,Report :,"@m01:IDENTIFICATION
Serial number     : SEBX0007000641      
MUX channel       : ON - 01

PARAMETERS
Sig LED current   : 045
Ref LED current   : 095
Frequency         : 060
Sending interval  : 0000
Pulse lenght      : 06
Red REF comp.     : ON
Temperature comp. : ON

FIRMWARE
ver.4.039.A3.ST   : 04/30/07, 09:14:36
@m01:RDY

",,Other Report :,"Start Temperature : 
End Temperature        : 
Start Humidity         : 
End Humidity           : 
Ref.phase Corre        : 1
Dig. Ampl.Factor       : 
Mod. Coarse Freq.      : 
Mod. Fine Freq.        : 
Mod. Shape             : 
Mono or Stero          : 
Phase Shift            : 
Sampling Rate          : 
Temp. Corr Slop Coef   : 
",,,,,,,,,,,,,,,,,
Start Date/Time:,"09/12/2021, 11:34:16",,,,,,Batch No.:  ,PSt5-1624-01_25¡C,,,,,,,,,,,,,,,,,,,,,,,
End Date/Time:,"09/12/2021, 12:09:10",,,,,,O2_cal0 [¡],54.76,,,,,,,,,,,,,,,,,,,,,,,
User Comment :,0,,Meas. Created By :,admin,,,O2_cal2nd [¡],47.47,,,,,,,,,,,,,,,,,,,,,,,
SDR Serial No. :,S-641,,,,,,O2_T0 [¡C],24.8,,,,,,,,,,,,,,,,,,,,,,,
Parameter :,Oxygen [cO2 [µmol/L]],,,,,,O2_T2nd [¡C],24.8,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,O2_patm [mbar],965,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,O2_2nd [% a.s.],100,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date/Time,Time/Min.,A1,B1,C1,D1,A2,B2,C2,D2,A3,B3,C3,D3,A4,B4,C4,D4,A5,B5,C5,D5,A6,C6,D6,,,Tm [¡C],p [mbar],Salinity [g/1000g],T_internal [¡C],Error
09.12.21 11:34:18,0.03,234,140.75,232.52,199.34,221.19,166.79,178.76,197.93,140.43,146.36,186.72,175.32,190.56,128.69,196.17,186.03,200.4,191.61,162.06,205.02,186.37,220.46,200.76,,,27,965,0,28.6,965D6-(E1);
09.12.21 11:34:33,0.28,244.39,155.34,232.15,200.76,215.76,169.17,196.17,207.15,155,139.11,178.41,153.33,192.66,135.52,224.46,184.98,206.08,180.14,170.54,234.37,190.56,237.69,214.68,,,27,965,0,28.22,965D6-(E1);
09.12.21 11:34:48,0.53,241.41,140.43,227.39,183.6,219.74,154,167.47,213.6,139.77,145.04,164.08,165.78,184.29,121.61,183.6,164.76,209.66,163.41,156.01,191.26,175.32,215.04,205.73,,,27,965,0,28.04,
09.12.21 11:35:03,0.78,228.85,133.56,235.1,180.48,239.92,145.37,177.38,212.16,125.46,146.36,181.17,133.24,184.29,123.85,187.76,178.76,208.22,176.7,162.39,193.36,184.64,224.46,203.24,,,27,965,0,27.94,
09.12.21 11:35:18,1.03,247.38,144.71,250.39,213.96,248.51,165.44,183.6,212.52,180.48,154.34,176.7,152.67,185.68,126.43,186.37,181.17,214.68,188.46,174.29,210.73,199.7,233.26,230.32,,,27,965,0,27.89,
09.12.21 11:35:33,1.28,247.38,155,244.76,219.74,248.13,168.49,195.11,205.73,161.38,150.67,188.11,155,198.64,121.29,207.51,179.1,224.1,196.87,175.32,213.96,193.01,235.1,229.58,,,27,965,0,27.86,965D6-(E1);
09.12.21 11:35:48,1.53,241.41,156.01,244.39,196.17,250.39,175.67,189.16,209.66,153.33,136.82,192.31,137.8,189.16,128.37,192.31,182.56,228.12,194.06,171.22,200.05,206.44,220.1,214.68,,,27,965,0,27.86,
09.12.21 11:36:03,1.78,244.76,148.68,248.13,215.76,247.76,156.01,198.28,213.6,157.01,146.36,187.07,164.42,201.47,135.19,214.32,190.91,223.74,186.37,159.03,250.01,199.7,245.89,227.02,,,27,965,0,27.88,
09.12.21 11:36:18,2.03,253.78,135.84,227.75,217.57,246.26,171.56,203.95,214.32,157.35,163.07,200.76,163.07,196.17,126.75,180.83,178.76,224.46,189.86,176.7,236.21,197.22,212.16,222.28,,,27,965,0,27.88,
09.12.21 11:36:33,2.28,253.4,149.01,252.65,218.65,248.88,160.04,198.99,220.46,166.79,144.38,184.29,148.34,191.26,126.75,198.99,191.96,224.46,196.87,175.32,216.48,198.64,238.06,214.32,,,27,965,0,27.91,
09.12.21 11:36:48,2.53,246.26,150,238.06,220.46,252.27,157.35,200.76,235.47,172.93,146.03,209.66,154,206.44,130.31,197.22,178.76,231.79,197.58,185.68,205.02,205.73,229.95,224.46,,,27,965,0,27.93,
09.12.21 11:37:03,2.78,254.54,146.03,251.14,227.39,243.64,162.39,208.58,228.85,187.76,164.76,187.07,159.03,215.04,127.08,200.76,179.79,217.57,201.11,172.93,203.59,209.3,227.75,224.1,,,27,965,0,27.96,965D6-(E1);
09.12.21 11:37:18,3.03,263.28,152,250.39,218.65,253.4,182.21,206.44,225.19,166.12,163.41,210.73,160.37,211.81,132.26,217.93,196.52,242.52,201.47,188.46,227.02,200.4,254.92,230.32,,,27,965,0,27.99,
09.12.21 11:37:33,3.28,250.01,130.64,246.26,224.83,246.26,156.68,188.46,206.08,159.36,143.06,198.64,152.67,195.46,124.82,199.34,166.45,228.48,183.94,169.51,216.48,197.58,219.38,194.41,,,27,965,0,28.01,
09.12.21 11:37:48,3.53,241.41,136.82,246.63,212.52,245.51,172.24,184.64,208.22,162.06,141.08,195.46,159.03,198.99,130.96,185.33,176.01,235.1,194.76,167.81,234.73,196.17,233.63,226.29,,,27,965,0,28.04,965D6-(E1);
09.12.21 11:38:03,3.78,251.89,136.82,243.64,211.09,239.92,171.22,208.94,207.15,187.07,141.08,211.45,147.02,205.73,127.4,191.26,170.88,221.19,184.98,164.76,196.52,195.11,235.1,224.46,,,27,965,0,28.08,965D6-(E1);
09.12.21 11:38:18,4.03,248.51,135.19,244.76,202.17,248.13,162.39,201.82,212.88,177.73,131.93,183.6,138.79,198.28,126.11,194.41,175.67,237.69,201.47,168.15,193.36,202.88,229.22,221.19,,,27,965,0,28.08,965D6-(E1);
09.12.21 11:38:33,4.28,269.81,138.13,251.89,218.29,262.9,164.08,212.88,221.55,173.95,133.24,197.93,159.7,192.66,132.58,187.42,185.33,239.55,189.51,167.13,193.71,203.95,244.76,232.89,,,27,965,0,28.11,
09.12.21 11:38:48,4.53,263.67,131.29,252.65,211.81,257.57,173.27,200.05,219.38,167.81,142.4,212.16,151.67,198.99,129.66,205.37,170.54,229.95,200.05,173.61,218.29,200.76,249.64,217.57,,,27,965,0,28.13,
09.12.21 11:39:03,4.78,247.01,129.02,231.79,203.24,253.78,176.35,194.41,205.02,166.12,131.29,202.17,143.39,196.87,116.49,201.47,167.81,228.85,201.82,165.44,209.3,194.76,238.06,206.08,,,27,965,0,28.15,965D6-(E1);
09.12.21 11:39:18,5.03,269.04,129.02,241.78,216.48,266.35,164.08,209.66,217.57,163.41,148.34,220.1,148.68,202.53,119.69,195.46,174.98,224.1,202.88,167.81,220.83,199.7,247.76,215.76,,,27,965,0,28.18,965D6-(E1);
09.12.21 11:39:33,5.28,248.13,113,236.21,193.36,244.76,170.88,195.11,205.02,168.49,126.43,189.16,143.06,187.07,119.37,187.76,161.72,218.65,181.17,154,206.08,180.14,235.1,213.24,,,27,965,0,28.19,965D6-(E1);
09.12.21 11:39:48,5.53,274.45,135.84,256.43,225.56,272.9,163.41,209.3,210.73,157.68,128.69,193.01,134.86,203.24,128.05,204.66,182.21,210.01,211.09,167.13,214.68,198.64,256.81,218.29,,,27,965,0,28.22,965D6-(E1);
09.12.21 11:40:03,5.78,253.03,123.53,239.92,210.01,248.88,165.78,212.16,205.37,167.81,133.89,177.38,136.5,211.45,119.05,193.71,165.1,224.1,181.17,164.76,195.46,191.96,244.02,215.76,,,27,965,0,28.24,965D6-(E1);
09.12.21 11:40:18,6.03,274.83,135.19,245.14,229.58,270.58,180.83,213.96,216.48,171.22,140.43,214.32,139.44,230.32,128.69,197.22,175.67,219.38,205.02,172.58,217.93,188.46,253.03,215.4,,,27,965,0,28.26,965D6-(E1);
09.12.21 11:40:33,6.28,270.58,132.58,256.05,228.12,272.9,170.54,219.01,223.74,166.45,134.54,206.8,151,205.37,133.56,213.96,181.52,243.27,200.76,176.7,216.85,191.96,253.03,216.48,,,27,965,0,28.28,965D6-(E1);
09.12.21 11:40:48,6.53,259.47,132.91,239.92,217.93,253.78,164.08,200.76,207.51,144.05,121.93,189.16,144.05,219.01,126.43,198.28,166.12,207.87,197.58,181.52,194.41,189.86,255.29,197.22,,,27,965,0,28.29,965D6-(E1);
09.12.21 11:41:03,6.78,269.04,130.64,255.29,246.26,254.92,177.38,225.19,225.92,196.87,129.34,212.16,137.15,211.45,138.13,201.11,186.72,228.48,216.12,182.21,211.09,198.99,241.78,231.79,,,27,965,0,28.3,965D6-(E1);
09.12.21 11:41:18,7.03,245.51,128.69,250.76,204.3,251.14,150,198.28,206.44,156.34,127.08,200.76,116.49,194.76,110.78,186.03,156.68,214.32,197.22,165.1,201.47,177.38,239.92,211.81,,,27,965,0,28.32,965D6-(E1);
09.12.21 11:41:33,7.28,265.96,115.54,241.41,213.24,247.38,145.7,207.51,202.17,155,139.77,184.64,125.79,203.24,119.37,204.3,157.01,227.02,188.46,168.49,201.47,181.17,243.64,195.46,,,27,965,0,28.33,
09.12.21 11:41:48,7.53,264.05,129.02,242.15,221.19,254.16,176.01,208.58,215.76,155.67,136.82,205.73,105.42,201.82,118.73,201.82,160.04,218.65,209.3,185.68,206.8,185.33,248.51,217.21,,,27,965,0,28.35,965D6-(E1);
09.12.21 11:42:04,7.8,269.04,122.89,248.51,223.37,263.67,153,215.04,209.3,173.95,144.71,193.01,137.15,198.28,122.89,190.91,158.35,230.68,206.08,178.41,208.58,187.42,244.76,222.64,,,27,965,0,28.36,
09.12.21 11:42:19,8.05,274.83,129.99,241.03,208.22,265.2,158.02,211.81,213.6,167.13,132.26,204.3,113,213.24,114.27,207.15,168.15,216.12,199.7,184.29,211.45,175.67,247.76,213.96,,,27,965,0,28.38,
09.12.21 11:42:34,8.3,257.95,120.97,254.92,200.05,246.63,157.35,214.32,208.22,182.9,119.05,220.1,110.46,204.66,111.73,206.8,155.34,215.76,203.59,165.1,198.28,181.17,253.03,218.29,,,27,965,0,28.4,
09.12.21 11:42:49,8.55,272.12,124.82,258.71,215.76,268.27,153,224.46,213.24,155.67,120.97,223.74,117.13,225.56,112.36,205.37,171.22,210.37,201.82,189.16,201.11,184.64,260.61,219.38,,,27,965,0,28.4,
09.12.21 11:43:04,8.8,257.57,118.41,228.48,207.51,262.9,157.68,224.1,189.16,158.69,123.21,221.55,108.88,206.44,103.85,190.91,145.04,228.85,201.82,173.61,213.24,174.29,244.76,201.82,,,27,965,0,28.41,965D6-(E1);
09.12.21 11:43:19,9.05,266.35,108.88,254.16,219.74,256.81,167.13,222.64,218.65,167.13,120.01,205.73,110.46,201.82,110.15,189.51,145.04,221.55,196.17,172.24,185.68,179.45,228.12,225.19,,,27,965,0,28.43,
09.12.21 11:43:34,9.3,251.14,109.2,254.92,208.94,251.14,156.01,216.48,206.44,167.13,128.69,205.02,125.14,212.52,113,194.76,157.68,228.12,205.37,175.32,195.46,183.94,252.65,181.52,,,27,965,0,28.43,965D6-(E1);
09.12.21 11:43:49,9.55,266.73,105.42,247.01,206.8,265.58,171.22,216.12,202.53,173.95,134.86,206.08,117.45,200.4,111.1,200.05,148.34,221.92,199.7,179.79,194.06,182.56,249.64,210.37,,,27,965,0,28.46,965D6-(E1);
09.12.21 11:44:04,9.8,264.81,124.18,252.65,207.15,269.81,172.24,224.46,202.53,171.56,127.08,207.15,103.22,212.52,111.41,196.17,146.36,220.1,198.99,174.64,189.51,173.27,238.43,215.04,,,27,965,0,28.46,
09.12.21 11:44:19,10.05,257.19,111.73,244.39,213.6,266.35,168.49,218.65,202.88,162.73,123.85,199.34,87.41,201.11,104.16,192.31,132.26,217.57,205.37,161.72,183.6,171.9,231.79,207.87,,,27,965,0,28.47,
09.12.21 11:44:34,10.3,267.5,116.49,244.76,206.8,259.09,167.81,228.48,212.16,176.01,129.34,221.92,111.1,202.88,108.88,203.59,147.02,213.24,201.82,181.87,180.83,183.25,258.33,205.37,,,27,965,0,28.47,965D6-(E1);
09.12.21 11:44:49,10.55,253.78,113,248.51,203.59,274.83,159.03,228.85,205.73,174.64,120.97,202.88,106.68,231.79,104.48,186.37,147.02,201.11,206.44,170.54,174.29,170.88,261.76,201.47,,,27,965,0,28.49,
09.12.21 11:45:04,10.8,270.19,107.94,234.73,218.29,278.72,162.39,221.55,198.99,162.73,126.43,219.74,92.03,203.95,110.15,189.86,140.1,221.55,207.51,174.29,182.21,173.27,223.37,206.8,,,27,965,0,28.5,
09.12.21 11:45:19,11.05,276,113,244.02,219.38,254.92,163.07,231.42,219.01,174.64,122.25,223.74,109.83,215.04,102.6,196.17,139.77,218.29,227.75,186.03,168.49,171.56,248.88,196.52,,,27,965,0,28.51,965D6-(E1);
09.12.21 11:45:34,11.3,248.88,111.1,239.18,210.73,248.88,166.12,232.52,201.82,184.29,121.29,214.68,81.29,220.46,99.16,205.73,133.56,210.01,202.88,180.14,186.37,166.12,228.48,198.64,,,27,965,0,28.54,965D6-(E1);
09.12.21 11:45:49,11.55,277.94,110.78,248.51,225.56,273.67,166.79,242.15,213.96,188.81,125.46,217.57,111.1,228.12,113.95,190.56,137.15,205.02,211.81,190.91,171.22,167.47,244.76,197.22,,,27,965,0,28.55,965D6-(E1);
09.12.21 11:46:04,11.8,266.73,109.83,248.13,195.82,256.43,172.93,236.95,197.93,174.64,112.68,195.11,101.35,210.01,96.36,193.01,137.8,222.28,227.02,185.68,159.03,165.1,255.29,200.4,,,27,965,0,28.55,965D6-(E1);
09.12.21 11:46:19,12.05,252.65,116.81,251.89,234.73,253.4,164.08,240.29,196.87,175.32,121.61,199.7,91.1,212.52,100.41,186.37,146.03,222.28,221.55,166.45,176.01,172.58,226.29,197.93,,,27,965,0,28.57,965D6-(E1);
09.12.21 11:46:34,12.3,256.43,101.03,236.21,218.29,248.13,140.43,221.55,167.13,172.24,106.05,201.47,83.42,206.8,101.35,185.33,133.56,207.15,194.41,165.78,152.33,159.7,252.27,190.91,,,27,965,0,28.58,965D6-(E1);
09.12.21 11:46:49,12.55,262.52,94.19,236.21,208.58,253.03,155.34,234,185.33,178.76,117.45,200.05,88.02,212.52,91.41,185.33,138.13,201.11,200.4,182.21,189.16,161.38,247.01,191.96,,,27,965,0,28.6,965D6-(E1);
09.12.21 11:47:04,12.8,265.96,92.33,242.52,209.66,280.28,165.78,245.89,192.31,162.06,114.27,198.99,82.51,213.96,102.91,189.51,126.11,227.02,213.6,168.83,190.56,159.03,247.01,191.96,,,27,965,0,28.63,
09.12.21 11:47:19,13.05,266.35,101.66,241.78,221.19,254.54,163.75,226.29,193.36,164.76,117.45,202.53,74.61,192.31,94.19,180.14,122.89,220.46,206.8,173.95,174.29,151.33,248.13,193.71,,,27,965,0,28.61,
09.12.21 11:47:34,13.3,268.27,95.74,243.64,203.59,243.64,148.68,242.52,185.68,172.24,125.14,212.88,82.81,217.21,99.79,186.03,132.58,197.22,217.21,174.64,182.9,162.06,241.41,199.34,,,27,965,0,28.65,965D6-(E1);
09.12.21 11:47:49,13.55,257.19,99.47,240.29,229.22,250.76,152.67,231.79,176.7,162.73,120.33,211.45,84.03,201.82,96.05,202.17,132.58,202.17,217.93,179.45,167.47,146.36,267.88,194.06,,,27,965,0,28.65,965D6-(E1);
09.12.21 11:48:04,13.8,266.73,90.17,240.29,225.19,262.9,159.7,239.92,191.26,179.79,130.96,207.87,75.52,228.48,106.68,197.22,128.69,216.85,213.6,172.93,175.32,159.36,284.19,197.93,,,27,965,0,28.68,965D6-(E1);
09.12.21 11:48:19,14.05,263.28,87.41,244.39,212.16,254.16,160.37,245.89,193.71,176.01,116.49,201.11,88.02,218.29,102.91,198.64,127.08,198.28,204.66,174.98,167.13,159.03,254.92,187.42,,,27,965,0,28.68,
09.12.21 11:48:34,14.3,255.67,93.57,254.54,221.92,248.88,165.1,247.38,188.11,192.66,128.37,207.51,74.61,221.19,99.47,197.93,130.64,191.61,227.75,174.29,181.52,159.7,253.03,199.34,,,27,965,0,28.71,
09.12.21 11:48:49,14.55,266.73,102.91,241.78,212.88,256.05,159.03,243.27,188.11,185.33,127.4,212.52,60.24,227.75,91.41,203.59,138.46,193.36,220.46,164.08,162.06,160.04,251.52,179.45,,,27,965,0,28.72,965D6-(E1);
09.12.21 11:49:04,14.8,243.27,81.59,225.19,209.3,257.95,157.68,222.28,175.32,163.75,113.95,208.22,69.79,219.38,82.81,173.95,113.63,198.28,204.66,166.79,147.35,138.46,235.1,181.17,,,27,965,0,28.74,
09.12.21 11:49:19,15.05,269.42,106.99,254.92,223.01,276,166.12,246.63,188.81,203.24,121.61,243.27,84.65,219.74,91.41,200.76,126.75,192.31,225.56,170.88,169.85,153.33,242.52,199.34,,,27,965,0,28.75,965D6-(E1);
09.12.21 11:49:34,15.3,268.65,84.03,244.76,206.8,256.05,169.17,248.51,196.87,184.98,124.18,211.09,81.59,205.37,98.54,199.7,122.57,182.56,213.96,185.68,167.81,150,263.67,182.56,,,27,965,0,28.76,
09.12.21 11:49:49,15.55,243.27,81.9,245.89,211.81,245.89,160.37,238.06,182.56,171.9,111.1,206.44,66.2,219.01,85.26,191.61,98.54,203.95,198.99,167.13,162.73,138.79,247.01,187.76,,,27,965,0,28.78,965D6-(E1);
09.12.21 11:50:04,15.8,256.81,105.11,228.48,202.17,264.43,151.67,236.21,181.87,184.29,122.57,201.47,51.39,217.21,93.26,176.35,108.57,171.56,216.12,169.17,168.15,150.34,211.09,183.94,,,27,965,0,28.79,965D6-(E1);
