Measurement Name :,20211208_Run9_Pacu_641_24C,,Generated On :,"08/12/2021, 14:25:09",,,Calibration details for Oxygen,,,Report :,"@m01:IDENTIFICATION
Serial number     : SEBX0007000641      
MUX channel       : ON - 01

PARAMETERS
Sig LED current   : 045
Ref LED current   : 095
Frequency         : 060
Sending interval  : 0000
Pulse lenght      : 06
Red REF comp.     : ON
Temperature comp. : ON

FIRMWARE
ver.4.039.A3.ST   : 04/30/07, 09:14:36
@m01:RDY

",,Other Report :,"Start Temperature : 
End Temperature        : 
Start Humidity         : 
End Humidity           : 
Ref.phase Corre        : 1
Dig. Ampl.Factor       : 
Mod. Coarse Freq.      : 
Mod. Fine Freq.        : 
Mod. Shape             : 
Mono or Stero          : 
Phase Shift            : 
Sampling Rate          : 
Temp. Corr Slop Coef   : 
",,,,,,,,,,,,,,,,,
Start Date/Time:,"08/12/2021, 14:03:36",,,,,,Batch No.:  ,PSt5-1624-01_25¡C,,,,,,,,,,,,,,,,,,,,,,,
End Date/Time:,"08/12/2021, 14:24:36",,,,,,O2_cal0 [¡],54.76,,,,,,,,,,,,,,,,,,,,,,,
User Comment :,0,,Meas. Created By :,admin,,,O2_cal2nd [¡],47.47,,,,,,,,,,,,,,,,,,,,,,,
SDR Serial No. :,S-641,,,,,,O2_T0 [¡C],24.8,,,,,,,,,,,,,,,,,,,,,,,
Parameter :,Oxygen [cO2 [µmol/L]],,,,,,O2_T2nd [¡C],24.8,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,O2_patm [mbar],965,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,O2_2nd [% a.s.],100,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date/Time,Time/Min.,A1,B1,C1,D1,A2,B2,C2,D2,A3,B3,C3,D3,A4,B4,C4,D4,A5,B5,C5,D5,A6,C6,D6,,,Tm [¡C],p [mbar],Salinity [g/1000g],T_internal [¡C],Error
08.12.21 14:03:38,0.03,218.12,255.44,263.1,267.15,278.2,283.56,152.18,264.72,270,254.64,240.33,222.37,225.46,265.12,280.67,236.78,270.41,265.12,263.91,273.68,258.26,256.65,267.56,,,24,965,0,29.1,
08.12.21 14:03:53,0.28,218.51,257.05,266.34,270.41,281.08,286.47,151.83,267.56,273.27,256.25,243.09,223.53,223.53,267.56,282.74,237.96,273.68,266.75,266.75,276.14,262.29,258.26,270.82,,,24,965,0,28.97,
08.12.21 14:04:08,0.53,218.51,257.85,267.97,270.82,282.74,287.71,150.4,268.37,274.91,257.05,243.88,223.14,224.69,268.37,283.15,237.96,274.09,266.34,267.15,276.55,263.91,258.26,271.23,,,24,965,0,28.89,
08.12.21 14:04:23,0.78,218.51,258.66,269.19,272.86,285.22,289.38,148.62,268.78,276.14,257.45,245.47,223.53,225.85,268.37,285.64,239.54,275.73,267.15,267.97,277.79,265.94,259.46,272.45,,,24,965,0,28.83,
08.12.21 14:04:38,1.03,217.35,259.46,270,273.27,285.64,290.63,148.27,269.19,276.96,257.05,246.26,222.75,225.85,268.78,286.05,238.75,276.55,266.34,268.78,277.79,267.97,259.06,272.45,,,24,965,0,28.79,
08.12.21 14:04:53,1.28,217.35,259.46,270,272.86,287.3,291.46,148.98,268.78,278.61,257.85,246.66,222.37,226.63,269.19,286.47,238.36,277.37,265.94,269.6,278.61,269.19,258.26,272.45,,,24,965,0,28.74,
08.12.21 14:05:08,1.53,216.59,260.27,270.82,274.09,288.96,291.88,148.62,269.19,279.02,258.66,247.85,222.37,226.24,270,287.3,239.14,277.79,265.12,270,279.84,270.82,259.06,273.68,,,24,965,0,28.72,
08.12.21 14:05:23,1.78,215.82,259.87,270.41,274.09,288.96,292.3,147.56,269.19,279.43,258.66,247.85,221.21,228.57,270,286.88,238.36,277.37,263.5,270,278.61,270.82,259.06,272.45,,,24,965,0,28.69,
08.12.21 14:05:38,2.03,215.05,259.87,270.41,273.68,290.21,293.97,146.14,268.78,279.43,257.85,247.45,220.05,223.53,269.19,287.3,237.18,277.37,262.69,270,279.02,271.64,258.66,272.45,,,24,965,0,28.68,
08.12.21 14:05:53,2.28,213.9,259.46,270.41,274.91,290.63,293.97,144.72,268.37,280.26,257.85,247.45,219.66,222.75,269.19,288.13,236.78,277.79,261.88,270,279.43,271.64,259.06,272.86,,,24,965,0,28.65,
08.12.21 14:06:08,2.53,212.75,258.26,270,273.27,291.05,294.81,142.25,268.37,279.84,257.45,247.06,218.12,223.53,268.78,288.13,235.61,277.37,260.67,270,278.61,271.23,259.06,272.05,,,24,965,0,28.61,
08.12.21 14:06:23,2.78,209.7,258.26,270,273.27,290.63,295.23,142.6,267.15,279.84,257.05,246.26,216.97,221.59,267.97,288.55,235.21,276.96,259.46,269.6,279.02,272.45,259.06,270.82,,,24,965,0,28.58,
08.12.21 14:06:38,3.03,207.8,257.45,270,273.27,291.46,295.23,142.25,266.75,279.84,256.65,245.87,215.43,220.82,267.97,287.3,234.04,276.96,258.66,269.6,278.61,272.05,259.06,271.23,,,24,965,0,28.55,
08.12.21 14:06:53,3.28,207.8,257.05,268.78,271.64,291.05,294.81,141.9,265.53,279.84,255.44,245.07,214.67,221.21,267.15,287.3,232.47,276.55,257.45,268.78,278.2,270.82,258.26,269.6,,,24,965,0,28.53,
08.12.21 14:07:08,3.53,208.56,256.25,268.78,271.23,290.63,294.39,139.78,264.72,278.61,255.04,244.68,212.75,218.51,265.94,286.88,232.08,275.73,255.04,268.78,276.55,270.82,257.85,269.19,,,24,965,0,28.5,
08.12.21 14:07:23,3.78,208.94,255.04,268.37,270.82,291.05,294.81,138.38,264.31,279.02,253.84,243.88,211.99,213.9,265.12,286.88,230.91,275.32,253.04,267.56,276.96,270,257.05,267.97,,,24,965,0,28.47,
08.12.21 14:07:38,4.03,209.7,254.64,267.97,270.41,290.63,294.81,137.32,263.91,278.2,254.24,243.09,210.08,213.14,264.72,286.88,230.13,275.32,251.44,267.56,276.14,270.41,257.05,267.97,,,24,965,0,28.44,
08.12.21 14:07:54,4.3,209.7,253.44,266.34,269.19,291.05,293.97,134.87,261.88,277.79,252.24,242.7,208.18,210.46,263.1,286.05,228.18,274.09,250.24,267.15,274.5,269.19,254.24,266.34,,,24,965,0,28.4,
08.12.21 14:08:09,4.55,211.23,252.64,266.34,268.78,291.05,293.56,134.17,260.67,277.37,251.84,242.3,207.42,209.32,262.69,285.64,227.02,274.09,250.24,266.34,274.91,269.19,250.24,265.94,,,24,965,0,28.39,
08.12.21 14:08:24,4.8,211.23,251.84,264.31,267.56,289.8,293.97,131.03,259.87,276.14,250.64,241.51,205.52,207.42,261.88,285.22,225.85,272.05,248.65,265.12,273.68,268.37,246.26,264.72,,,24,965,0,28.36,
08.12.21 14:08:39,5.05,211.99,251.04,263.5,266.75,290.21,293.14,130.33,259.06,275.73,249.84,241.12,203.63,205.9,261.08,284.81,224.69,272.05,247.45,265.12,272.86,268.37,242.7,263.91,,,24,965,0,28.33,
08.12.21 14:08:54,5.3,212.37,249.05,263.1,265.53,289.38,292.72,132.08,257.05,275.32,249.05,239.93,202.11,204,259.87,283.98,222.75,270.41,245.87,263.91,271.23,267.15,239.93,262.69,,,24,965,0,28.28,
08.12.21 14:09:09,5.55,212.75,248.25,261.88,265.12,289.38,293.14,127.55,256.25,274.09,248.25,240.33,200.98,202.11,258.26,283.98,221.59,270.41,245.07,263.91,270.82,267.15,238.36,262.29,,,24,965,0,28.26,
08.12.21 14:09:24,5.8,213.52,247.85,261.08,263.1,289.38,292.3,127.21,255.84,273.68,247.06,239.14,199.47,200.98,257.45,283.56,220.43,269.6,243.88,263.1,270,267.15,236,261.08,,,24,965,0,28.22,
08.12.21 14:09:39,6.05,213.52,246.66,260.27,261.88,287.71,291.46,126.17,254.64,273.27,245.87,239.14,197.22,199.47,255.84,282.74,218.89,269.19,242.3,261.88,268.78,266.34,233.25,259.87,,,24,965,0,28.19,
08.12.21 14:09:54,6.3,213.9,245.47,258.66,261.48,288.55,290.63,125.13,251.84,272.05,244.28,237.57,195.34,197.97,255.04,281.5,217.35,267.97,240.72,261.08,267.56,266.34,231.3,258.66,,,24,965,0,28.15,
08.12.21 14:10:09,6.55,214.29,244.28,258.26,260.67,286.88,291.05,123.4,251.44,271.64,243.88,237.18,193.84,195.71,253.44,281.5,215.82,267.15,239.54,259.87,267.15,265.12,229.35,257.85,,,24,965,0,28.11,
08.12.21 14:10:24,6.8,214.29,243.88,257.45,259.46,287.3,291.05,123.75,251.04,271.23,242.7,237.18,192.72,194.96,253.44,280.67,214.29,266.75,238.75,259.87,265.12,265.12,228.57,257.05,,,24,965,0,28.08,
08.12.21 14:10:39,7.05,213.52,242.3,255.84,257.85,286.88,289.8,122.02,249.44,269.6,241.51,236.39,190.85,193.09,251.84,279.43,213.14,265.53,237.57,258.26,264.72,264.72,226.63,254.64,,,24,965,0,28.04,
08.12.21 14:10:54,7.3,213.52,241.12,254.64,256.65,286.88,289.8,120.64,248.25,268.78,240.33,236.39,189.36,191.23,250.24,279.02,211.23,265.12,236.39,257.45,263.5,264.31,223.91,253.84,,,24,965,0,28.01,
08.12.21 14:11:09,7.55,212.75,240.33,253.84,255.44,286.05,289.8,120.64,246.66,268.37,239.93,234.43,187.13,189.73,249.84,278.61,209.32,263.1,234.04,256.25,262.29,263.5,221.98,253.04,,,24,965,0,27.99,
08.12.21 14:11:24,7.8,212.75,237.96,252.24,254.24,284.81,288.96,119.27,245.87,267.15,237.96,234.04,185.65,187.13,247.85,277.37,208.56,262.69,232.47,255.04,261.08,262.69,218.89,251.44,,,24,965,0,27.96,
08.12.21 14:11:39,8.05,212.37,237.57,251.84,253.84,285.22,287.71,118.92,244.28,266.34,237.18,233.65,183.79,186.02,247.45,276.96,206.66,262.29,231.3,254.64,259.46,263.1,216.97,248.65,,,24,965,0,27.9,
08.12.21 14:11:54,8.3,211.99,236.78,250.24,252.64,285.22,288.13,118.92,243.09,265.53,236,232.86,181.95,183.42,245.47,276.55,205.52,261.08,229.74,254.24,259.06,262.29,215.82,246.66,,,24,965,0,27.88,
08.12.21 14:12:09,8.55,211.23,234.82,249.05,251.04,284.39,287.3,118.24,241.91,263.91,234.43,231.69,180.47,181.21,244.28,274.91,203.25,260.27,227.79,252.64,257.45,261.88,213.14,243.09,,,24,965,0,27.83,
08.12.21 14:12:24,8.8,211.61,233.65,247.06,250.24,284.81,286.88,117.21,241.12,263.91,233.65,231.3,179,179.73,243.88,275.32,202.49,259.46,226.24,252.64,257.05,261.88,211.23,239.93,,,24,965,0,27.79,
08.12.21 14:12:39,9.05,210.84,232.86,245.47,248.65,283.56,286.47,116.52,239.14,261.88,231.69,230.52,176.79,178.63,241.51,273.27,200.6,259.06,225.46,251.44,255.44,261.08,205.9,236.39,,,24,965,0,27.76,
08.12.21 14:12:54,9.3,209.7,231.3,242.3,247.45,281.91,284.81,116.52,237.57,260.27,231.3,228.96,174.23,176.06,240.33,272.86,199.1,257.05,223.91,250.24,253.84,261.08,201.36,232.08,,,24,965,0,27.72,
08.12.21 14:13:09,9.55,210.08,230.52,239.93,247.06,283.15,285.22,115.5,237.57,260.67,229.74,229.35,174.23,175.33,239.54,272.86,198.72,257.05,223.53,249.44,253.84,259.87,199.47,228.18,,,24,965,0,27.68,
08.12.21 14:13:24,9.8,208.94,228.96,236,245.07,281.5,283.56,114.47,235.61,258.66,228.57,227.79,171.3,172.76,238.36,270.82,196.09,255.44,221.21,248.25,251.84,259.87,195.71,223.53,,,24,965,0,27.65,
08.12.21 14:13:39,10.05,208.56,228.57,233.65,243.88,281.91,283.98,113.44,234.43,258.26,227.4,227.4,170.58,172.4,237.57,271.23,194.96,255.04,219.66,247.45,251.04,259.87,194.22,220.05,,,24,965,0,27.63,
08.12.21 14:13:54,10.3,208.18,226.63,231.3,243.09,280.67,282.32,112.42,233.25,257.05,225.46,225.46,167.66,170.21,236,269.6,192.72,253.44,216.2,245.87,249.84,259.06,191.97,215.43,,,24,965,0,27.58,
08.12.21 14:14:09,10.55,207.04,225.46,227.79,240.72,279.84,281.5,111.06,232.08,255.44,224.69,222.37,166.21,169.12,233.65,268.78,190.48,253.04,214.67,244.68,247.85,257.85,190.85,211.61,,,24,965,0,27.54,
08.12.21 14:14:24,10.8,206.66,224.69,226.24,240.33,279.43,281.91,111.4,230.52,254.64,223.14,218.12,164.4,167.66,233.65,268.78,189.73,251.84,213.9,243.88,247.06,257.45,189.36,207.8,,,24,965,0,27.51,
08.12.21 14:14:39,11.05,205.9,222.75,222.75,237.96,278.61,279.84,110.72,229.35,253.84,222.37,211.99,163.32,166.21,232.08,266.75,187.5,251.04,211.99,242.7,245.87,257.05,187.87,204.38,,,24,965,0,27.47,
08.12.21 14:14:54,11.3,205.9,221.98,221.59,237.57,278.61,280.26,110.72,228.18,253.04,220.82,207.42,161.15,165.49,230.91,266.75,186.39,250.24,210.84,242.3,245.07,257.05,187.87,201.36,,,24,965,0,27.44,
08.12.21 14:15:09,11.55,205.14,220.43,220.05,236.39,278.61,279.43,109.7,227.02,251.44,220.05,201.74,158.99,164.04,230.13,265.94,183.79,249.84,209.7,241.12,243.49,256.65,187.5,199.1,,,24,965,0,27.4,
08.12.21 14:15:24,11.8,204.38,219.28,216.59,234.82,277.37,277.79,109.02,225.85,251.04,218.89,195.71,157.91,162.59,228.57,265.12,183.05,248.25,209.32,239.93,241.91,256.25,184.91,195.71,,,24,965,0,27.36,
08.12.21 14:15:39,12.05,203.63,218.12,209.7,234.04,276.96,276.96,108,224.69,249.84,217.35,190.85,156.12,160.43,227.02,263.91,180.84,247.85,207.8,238.75,240.72,255.44,182.69,193.09,,,24,965,0,27.33,
08.12.21 14:15:54,12.3,203.63,216.97,204.38,232.86,276.96,276.96,106.64,222.75,249.05,215.82,184.91,153.97,158.99,225.85,263.5,179.73,246.26,207.8,237.57,239.54,255.04,180.47,190.85,,,24,965,0,27.29,
08.12.21 14:16:09,12.55,202.49,215.82,196.46,231.3,276.14,276.14,106.31,221.98,247.45,214.29,180.47,152.18,156.83,224.69,262.69,177.53,245.47,208.94,236.39,237.96,255.04,173.86,188.62,,,24,965,0,27.26,
08.12.21 14:16:24,12.8,201.36,214.67,190.48,228.96,275.73,274.5,104.61,220.82,246.66,212.75,175.69,150.4,155.76,223.14,261.48,175.69,244.28,205.9,235.21,236.39,253.84,170.21,186.02,,,24,965,0,27.22,
08.12.21 14:16:39,13.05,200.98,213.14,186.02,228.18,274.09,274.5,103.26,219.66,245.47,211.99,171.3,148.62,154.33,222.37,260.27,174.23,243.09,204.38,234.82,235.61,253.04,167.66,184.16,,,24,965,0,27.18,
08.12.21 14:16:54,13.3,199.85,211.99,183.05,226.63,274.09,272.86,101.92,218.51,244.28,210.46,167.66,146.85,153.25,220.43,259.87,172.03,242.3,202.87,233.25,234.82,253.04,170.21,181.95,,,24,965,0,27.15,
08.12.21 14:17:09,13.55,199.47,210.84,178.26,225.85,273.68,273.27,102.25,216.97,243.09,209.32,163.32,145.07,152.9,219.28,259.87,170.58,241.51,202.11,232.47,233.25,253.04,168.39,180.1,,,24,965,0,27.1,
08.12.21 14:17:24,13.8,198.72,209.32,173.86,224.3,272.86,271.64,101.24,216.2,241.51,207.42,159.35,143.31,151.83,218.12,258.66,168.39,240.33,200.6,231.3,232.08,252.64,166.58,178.26,,,24,965,0,27.08,
08.12.21 14:17:39,14.05,198.34,208.56,171.3,223.14,272.86,271.64,100.23,213.9,241.51,206.28,156.48,141.9,151.47,217.35,258.26,167.3,239.14,198.72,230.13,230.52,252.24,164.76,176.79,,,24,965,0,27.04,
08.12.21 14:17:54,14.3,197.59,207.04,168.03,221.98,272.45,270.41,99.23,212.75,239.54,205.14,152.9,139.78,150.04,215.43,257.05,165.13,237.96,196.84,228.96,229.35,251.44,163.32,174.23,,,24,965,0,27.01,
08.12.21 14:18:09,14.55,196.46,204.76,165.85,220.43,271.23,269.19,98.89,210.08,238.75,203.63,149.69,138.02,149.33,214.67,256.25,162.96,237.18,194.96,228.18,227.4,251.44,161.15,172.4,,,24,965,0,26.97,
08.12.21 14:18:24,14.8,196.09,204,164.76,218.89,270.41,269.6,98.55,209.32,237.57,202.87,145.07,136.62,148.27,213.52,255.04,161.87,236,193.47,226.63,226.63,251.04,160.07,170.21,,,24,965,0,26.93,
08.12.21 14:18:39,15.05,194.96,203.25,161.87,217.35,270.41,267.97,97.88,207.42,236.78,200.6,141.9,134.52,146.49,211.99,254.24,160.07,235.21,191.6,225.46,225.07,249.44,151.47,167.66,,,24,965,0,26.89,
08.12.21 14:18:54,15.3,193.84,202.11,160.79,216.59,269.19,267.56,97.21,205.52,235.21,199.1,138.02,132.42,145.07,210.84,253.84,157.91,234.04,190.11,224.3,223.91,249.84,149.69,165.85,,,24,965,0,26.86,
08.12.21 14:19:09,15.55,193.09,200.98,158.27,215.05,269.6,266.75,96.88,202.87,234.82,197.97,136.27,130.68,144.72,209.32,253.04,156.12,233.25,189.73,223.91,223.14,249.84,151.11,164.04,,,24,965,0,26.82,
08.12.21 14:19:24,15.8,192.72,199.85,157.55,213.9,268.78,265.94,96.21,200.98,233.25,197.22,134.17,129.29,143.31,208.18,252.24,154.68,231.69,189.73,222.75,221.98,249.44,148.62,162.23,,,24,965,0,26.79,
08.12.21 14:19:39,16.05,191.6,197.59,155.4,211.61,267.56,265.12,94.87,198.72,232.08,195.34,131.73,127.21,141.54,207.04,251.04,152.18,230.52,189.73,221.59,220.05,249.05,146.85,160.07,,,24,965,0,26.75,
08.12.21 14:19:54,16.3,190.85,196.84,154.68,210.08,266.75,263.91,93.54,196.46,230.52,193.09,129.64,125.13,140.13,205.52,249.84,149.69,228.96,188.25,220.43,218.12,247.85,145.43,157.55,,,24,965,0,26.69,
08.12.21 14:20:09,16.55,190.11,195.34,152.9,209.32,265.94,263.5,92.2,193.84,229.74,192.72,127.9,123.75,138.38,204.38,249.84,148.27,228.96,184.16,219.28,216.97,247.85,144.72,156.48,,,24,965,0,26.68,
08.12.21 14:20:24,16.8,188.99,194.96,151.11,207.42,265.53,263.5,93.54,191.97,228.96,191.6,126.17,122.37,137.67,203.63,249.05,147.2,227.02,184.16,218.89,217.35,247.45,143.66,155.04,,,24,965,0,26.64,
08.12.21 14:20:39,17.05,187.87,192.72,149.33,206.28,264.72,261.88,88.88,189.36,227.02,189.36,124.44,120.3,136.62,201.36,248.25,144.72,226.63,182.69,217.35,215.05,246.66,142.6,152.9,,,24,965,0,26.6,
08.12.21 14:20:54,17.3,187.5,192.35,146.85,205.9,265.12,261.88,87.88,187.87,225.85,188.25,123.06,118.58,135.22,201.36,247.06,142.95,225.85,181.95,216.97,212.75,247.06,141.54,151.83,,,24,965,0,26.57,
08.12.21 14:21:09,17.55,186.76,190.48,145.43,203.63,263.91,260.67,86.56,184.16,224.69,186.76,120.64,116.52,133.47,199.47,246.26,141.19,224.69,181.21,215.82,212.37,246.66,140.49,149.69,,,24,965,0,26.54,
08.12.21 14:21:24,17.8,186.02,189.36,144.01,202.87,263.91,261.08,86.23,182.32,224.69,185.65,119.95,114.81,132.08,198.72,246.26,140.13,224.3,180.47,215.05,211.61,246.26,140.13,148.62,,,24,965,0,26.51,
08.12.21 14:21:39,18.05,184.91,187.87,142.25,200.98,262.29,259.87,84.57,180.47,223.14,184.16,118.24,113.1,130.33,197.22,245.07,137.67,223.14,179.73,213.52,210.08,247.06,138.73,146.14,,,24,965,0,26.47,
08.12.21 14:21:54,18.3,184.16,186.76,141.9,200.98,262.69,259.46,83.25,177.53,222.37,183.05,117.21,112.08,128.94,196.09,244.28,135.92,223.14,179,212.75,208.56,246.26,138.02,145.43,,,24,965,0,26.43,
08.12.21 14:22:09,18.55,183.79,186.02,140.49,198.72,261.88,258.66,82.27,174.96,221.21,181.21,115.5,110.04,126.51,194.96,243.49,133.82,221.98,177.89,210.84,207.04,245.87,136.27,142.95,,,24,965,0,26.4,
08.12.21 14:22:24,18.8,183.05,184.91,139.78,197.97,261.48,259.06,79.96,172.4,220.82,180.1,114.13,108.34,123.75,193.84,243.88,132.77,221.59,177.89,210.84,205.9,246.26,135.57,141.9,,,24,965,0,26.39,
08.12.21 14:22:39,19.05,182.32,183.42,138.38,196.09,261.88,258.26,80.29,170.21,218.89,179,112.76,106.31,120.64,192.72,242.3,130.33,220.82,177.16,209.7,205.52,245.87,134.17,139.78,,,24,965,0,26.36,
08.12.21 14:22:54,19.3,181.95,182.69,137.67,195.71,261.88,258.26,79.31,168.03,218.51,177.89,111.4,104.61,116.86,191.97,242.3,129.29,220.43,176.79,208.56,204.76,246.66,133.12,138.73,,,24,965,0,26.35,
08.12.21 14:23:09,19.55,181.21,181.58,136.97,194.59,261.48,257.45,77.67,165.49,218.12,176.79,110.04,103.26,113.79,191.23,241.91,127.21,220.05,176.79,208.56,203.25,247.06,132.08,137.32,,,24,965,0,26.33,
08.12.21 14:23:24,19.8,180.84,180.47,135.92,193.09,261.48,256.65,76.36,162.96,216.97,175.69,108.68,101.58,109.7,189.73,240.72,125.82,219.66,176.79,207.42,202.11,247.06,129.99,135.92,,,24,965,0,26.32,
08.12.21 14:23:39,20.05,180.1,179.37,134.87,192.35,260.67,256.25,75.05,160.79,215.82,174.59,106.98,100.23,105.97,188.25,239.93,124.09,218.51,176.79,206.28,200.98,246.26,130.68,134.52,,,24,965,0,26.32,
08.12.21 14:23:54,20.3,179,177.89,134.52,191.23,261.08,256.25,71.47,158.99,214.67,172.76,105.97,98.22,102.25,186.76,239.54,122.02,218.89,177.16,205.9,199.85,247.06,129.64,133.12,,,24,965,0,26.29,
08.12.21 14:24:09,20.55,177.89,176.79,133.47,189.36,259.87,255.44,69.84,155.76,213.52,171.67,103.94,96.54,99.56,186.39,239.14,120.64,217.74,176.43,204.76,198.34,247.45,123.75,131.03,,,24,965,0,26.29,
08.12.21 14:24:24,20.8,177.16,175.69,132.08,188.99,259.46,255.44,69.19,153.61,212.37,170.21,101.92,94.87,97.21,185.65,238.36,118.92,217.35,176.06,204,197.22,247.85,120.3,129.29,,,24,965,0,26.28,