Measurement Name :,20211208_RunB_Pacu_641_38C,,Generated On :,"08/12/2021, 16:28:16",,,Calibration details for Oxygen,,,Report :,"@m01:IDENTIFICATION
Serial number     : SEBX0007000641      
MUX channel       : ON - 01

PARAMETERS
Sig LED current   : 045
Ref LED current   : 095
Frequency         : 060
Sending interval  : 0000
Pulse lenght      : 06
Red REF comp.     : ON
Temperature comp. : ON

FIRMWARE
ver.4.039.A3.ST   : 04/30/07, 09:14:36
@m01:RDY

",,Other Report :,"Start Temperature : 
End Temperature        : 
Start Humidity         : 
End Humidity           : 
Ref.phase Corre        : 1
Dig. Ampl.Factor       : 
Mod. Coarse Freq.      : 
Mod. Fine Freq.        : 
Mod. Shape             : 
Mono or Stero          : 
Phase Shift            : 
Sampling Rate          : 
Temp. Corr Slop Coef   : 
",,,,,,,,,,,,,,,,,
Start Date/Time:,"08/12/2021, 16:07:29",,,,,,Batch No.:  ,PSt5-1624-01_25¡C,,,,,,,,,,,,,,,,,,,,,,,
End Date/Time:,"08/12/2021, 16:27:44",,,,,,O2_cal0 [¡],54.76,,,,,,,,,,,,,,,,,,,,,,,
User Comment :,0,,Meas. Created By :,admin,,,O2_cal2nd [¡],47.47,,,,,,,,,,,,,,,,,,,,,,,
SDR Serial No. :,S-641,,,,,,O2_T0 [¡C],24.8,,,,,,,,,,,,,,,,,,,,,,,
Parameter :,Oxygen [cO2 [µmol/L]],,,,,,O2_T2nd [¡C],24.8,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,O2_patm [mbar],965,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,O2_2nd [% a.s.],100,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date/Time,Time/Min.,A1,B1,C1,D1,A2,B2,C2,D2,A3,B3,C3,D3,A4,B4,C4,D4,A5,B5,C5,D5,A6,C6,D6,,,Tm [¡C],p [mbar],Salinity [g/1000g],T_internal [¡C],Error
08.12.21 16:07:31,0.03,149.88,150.15,151.48,145.64,161.18,161.45,146.96,157.39,128.18,155.5,138.28,145.11,146.96,153.09,143.52,135.93,158.2,163.63,146.43,164.17,144.58,156.04,158.2,,,38,965,0,35.57,
08.12.21 16:07:46,0.28,154.43,155.23,157.39,152.02,168,167.73,153.09,162.54,128.95,159.82,140.63,149.62,154.7,156.85,149.08,138.8,165.26,169.38,150.42,169.93,152.28,159.55,165.26,,,38,965,0,34.79,
08.12.21 16:08:01,0.53,159.55,160.09,162.54,157.39,173.24,173.52,157.39,167.18,133.6,163.9,144.58,152.55,159.01,160.09,153.36,141.16,170.76,174.08,154.97,174.63,159.28,164.44,169.93,,,38,965,0,34.36,
08.12.21 16:08:16,0.78,164.44,162.54,166.63,160.91,177.42,177.69,160.63,170.48,135.93,166.08,146.43,154.7,161.45,161.99,156.58,145.37,174.91,177.69,157.93,177.69,164.44,168.55,173.52,,,38,965,0,34.15,
08.12.21 16:08:31,1.03,168.55,164.99,170.2,164.17,182.46,181.05,163.35,173.52,138.8,169.38,152.28,157.12,163.9,164.72,159.28,144.32,178.81,181.05,160.91,180.77,169.38,173.24,176.86,,,38,965,0,34.04,
08.12.21 16:08:46,1.28,172.69,166.63,173.52,166.91,186.13,184.71,163.35,176.02,143,171.03,154.16,159.01,169.38,167.18,161.99,142.73,182.18,184.43,163.35,183.87,173.24,176.02,179.37,,,38,965,0,33.97,
08.12.21 16:09:01,1.53,176.86,168,174.91,168.83,189.54,188.11,165.54,178.25,145.64,173.24,156.04,159.55,169.38,168.83,164.72,140.11,184.71,186.41,164.99,185.28,175.47,176.58,181.05,,,38,965,0,33.96,
08.12.21 16:09:16,1.78,176.3,168.55,176.3,170.48,192.68,190.96,166.63,179.93,147.76,174.08,151.75,160.36,175.19,169.93,166.36,141.42,186.98,188.4,167.18,187.83,177.14,177.97,182.18,,,38,965,0,33.97,
08.12.21 16:09:31,2.03,177.42,169.38,177.42,171.86,195.26,192.68,164.72,181.62,149.08,175.47,151.22,161.18,172.69,170.48,168.83,140.11,187.55,190.96,168.28,188.68,179.09,179.37,183.02,,,38,965,0,34,
08.12.21 16:09:46,2.28,177.42,169.65,178.53,174.63,198.14,195.26,167.45,182.46,150.42,177.14,150.68,160.91,177.97,170.76,170.2,138.54,189.54,192.68,170.2,189.82,180.21,180.49,183.59,,,38,965,0,34.03,
08.12.21 16:10:01,2.53,177.69,169.93,179.93,173.52,199.87,196.41,164.99,184.43,151.48,177.97,151.48,161.45,176.02,170.2,171.03,136.97,190.96,194.4,171.31,190.96,181.05,181.05,183.3,,,38,965,0,34.08,
08.12.21 16:10:16,2.78,177.97,169.93,181.05,174.91,202.2,198.43,166.36,185,152.82,178.81,152.55,161.45,179.37,169.65,172.97,135.41,191.82,195.83,172.41,191.82,181.05,181.33,183.59,,,38,965,0,34.11,
08.12.21 16:10:31,3.03,177.69,169.65,181.33,176.58,203.07,199.58,166.08,185.56,154.43,178.25,153.09,161.18,176.58,169.1,173.8,132.3,192.1,196.98,172.97,192.1,181.05,181.05,183.3,,,38,965,0,34.15,
08.12.21 16:10:46,3.28,176.3,168.55,181.05,172.69,204.53,200.45,164.99,185.84,152.82,179.09,152.82,160.91,176.02,168.28,174.91,130.75,192.1,197.56,174.08,192.1,180.77,180.77,182.46,,,38,965,0,34.19,
08.12.21 16:11:01,3.53,175.47,168.55,181.9,170.2,204.53,201.32,164.17,186.13,152.82,179.65,152.28,160.09,179.37,168.55,176.02,128.95,192.1,198.14,174.35,192.68,180.77,179.37,181.9,,,38,965,0,34.22,
08.12.21 16:11:16,3.78,174.35,167.73,183.02,169.93,206.28,203.07,164.72,186.13,152.28,179.65,152.28,159.55,177.14,168.83,176.02,127.67,192.68,198.72,174.91,192.39,180.49,178.25,181.05,,,38,965,0,34.26,
08.12.21 16:11:31,4.03,172.14,167.18,184.43,168.28,206.87,203.65,163.9,186.41,152.55,178.81,150.95,158.47,176.3,168.55,176.58,126.13,192.96,199.3,175.47,192.1,179.93,176.86,179.37,,,38,965,0,34.29,
08.12.21 16:11:46,4.28,171.86,166.08,184.43,166.08,207.75,204.53,163.63,186.13,152.82,179.09,150.95,158.2,175.19,168,177.42,123.83,193.25,200.45,176.02,192.1,180.21,175.19,179.09,,,38,965,0,34.33,
08.12.21 16:12:01,4.53,170.48,164.72,180.77,165.81,208.63,205.11,162.54,186.41,150.68,179.09,149.62,156.31,173.24,167.18,177.97,121.8,193.25,200.45,176.02,191.82,180.21,172.69,178.53,,,38,965,0,34.38,
08.12.21 16:12:16,4.78,167.18,162.81,182.18,164.44,208.92,205.11,161.45,186.13,149.62,177.97,146.96,156.04,172.14,166.36,177.97,120.02,193.25,201.03,176.3,192.1,179.65,170.2,177.14,,,38,965,0,34.41,
08.12.21 16:12:31,5.03,165.26,161.18,182.18,162.26,208.04,205.4,160.36,186.13,148.55,178.25,147.49,155.23,168,165.54,178.53,117.25,192.96,201.32,176.3,191.25,179.37,168,175.74,,,38,965,0,34.46,
08.12.21 16:12:46,5.28,163.63,159.28,178.81,160.09,207.45,205.99,159.55,185.28,148.29,177.69,147.76,153.89,166.08,164.44,178.81,113.48,192.39,201.61,176.58,190.96,178.81,165.26,174.63,,,38,965,0,34.47,
08.12.21 16:13:01,5.53,163.08,159.01,176.86,157.66,211.57,206.57,158.47,184.15,147.49,177.69,150.95,153.36,163.08,163.63,179.93,111.73,192.96,201.91,176.58,190.96,179.09,161.18,174.08,,,38,965,0,34.51,
08.12.21 16:13:16,5.78,161.18,157.12,178.25,154.7,207.45,206.87,157.39,182.74,147.23,176.86,149.62,151.48,161.45,161.18,179.37,109.74,191.53,201.61,176.02,190.39,178.81,158.74,172.69,,,38,965,0,34.54,
08.12.21 16:13:31,6.03,160.09,155.5,173.8,152.28,205.7,205.99,156.85,181.05,146.17,175.47,149.88,149.62,159.55,159.28,179.65,108.99,191.25,201.61,175.74,189.54,178.53,158.47,171.31,,,38,965,0,34.58,
08.12.21 16:13:46,6.28,158.47,153.62,172.41,150.42,203.07,206.87,158.47,180.49,143.79,176.02,149.35,149.08,159.55,157.66,179.37,108.74,191.25,201.91,175.19,189.54,177.69,157.66,170.76,,,38,965,0,34.61,
08.12.21 16:14:01,6.53,157.12,152.02,171.86,148.29,204.53,206.87,156.58,178.81,142.73,174.63,152.02,147.76,160.36,155.77,179.93,107.75,190.96,201.91,174.35,188.68,177.69,155.23,169.65,,,38,965,0,34.63,
08.12.21 16:14:16,6.78,155.77,150.15,171.03,146.17,201.91,206.87,155.23,178.25,141.95,174.08,149.08,146.17,160.91,153.62,179.65,107.75,190.68,201.91,173.8,187.55,177.14,153.62,168.28,,,38,965,0,34.66,
08.12.21 16:14:31,7.03,153.89,148.55,169.93,143.52,199.87,206.57,153.62,177.14,140.9,173.24,148.29,144.84,161.45,151.48,179.37,107.5,189.82,201.91,173.24,187.55,176.86,148.82,167.45,,,38,965,0,34.68,
08.12.21 16:14:46,7.28,152.55,146.96,168.83,140.63,196.98,207.45,152.28,175.47,138.8,171.86,147.76,143.26,161.72,149.62,179.09,107.25,189.54,202.2,171.86,186.41,176.58,145.9,166.08,,,38,965,0,34.74,
08.12.21 16:15:01,7.53,150.95,144.58,168.28,137.23,197.85,207.75,149.88,174.08,136.97,170.48,146.96,141.42,161.72,147.23,178.53,107.01,188.68,201.03,171.03,185.28,176.3,144.58,164.72,,,38,965,0,34.76,
08.12.21 16:15:17,7.8,148.29,142.47,166.91,135.67,195.26,207.16,149.35,173.24,135.93,169.1,146.7,139.32,161.45,145.37,177.42,106.76,187.83,200.45,170.48,184.43,175.74,144.05,164.17,,,38,965,0,34.79,
08.12.21 16:15:32,8.05,146.43,141.42,166.63,134.37,187.55,206.57,146.7,172.14,134.37,167.73,145.9,138.28,161.72,143,176.02,106.76,187.55,200.45,170.48,183.87,174.91,139.85,163.35,,,38,965,0,34.8,
08.12.21 16:15:47,8.3,144.84,139.32,166.08,131.53,185,206.87,146.43,171.31,133.6,165.54,145.37,136.19,160.91,140.63,176.58,106.51,186.41,201.03,169.65,183.02,174.63,136.71,161.72,,,38,965,0,34.85,
08.12.21 16:16:02,8.55,143.79,137.5,164.99,129.98,185,205.99,144.05,169.93,132.56,163.63,146.96,134.11,160.36,138.8,174.63,105.52,186.13,200.45,168.55,181.62,174.63,134.63,160.63,,,38,965,0,34.86,
08.12.21 16:16:17,8.8,141.95,135.15,163.9,127.41,184.15,205.99,144.05,167.73,130.24,160.91,143,132.04,159.01,136.19,174.08,104.29,185,200.16,167.73,181.33,174.08,131.79,159.55,,,38,965,0,34.9,
08.12.21 16:16:32,9.05,140.63,134.11,163.9,125.88,179.09,205.99,142.21,167.18,127.41,158.74,143.26,129.72,157.66,134.11,173.52,103.55,184.43,199.87,167.18,180.21,174.35,129.98,158.47,,,38,965,0,34.93,
08.12.21 16:16:47,9.3,139.06,132.3,162.81,123.07,176.02,205.99,143,166.08,126.13,157.12,142.47,127.67,156.58,132.56,173.52,102.32,183.59,199.3,166.63,179.65,173.8,127.15,157.12,,,38,965,0,34.94,
08.12.21 16:17:02,9.55,137.76,130.5,162.26,120.78,175.47,205.99,141.42,165.26,124.09,155.23,138.54,125.88,155.5,129.98,172.14,100.85,182.74,199.3,165.81,178.25,173.52,124.85,156.58,,,38,965,0,34.97,
08.12.21 16:17:17,9.8,136.97,129.21,161.99,118.51,175.74,205.4,140.11,164.17,121.54,152.55,134.63,123.58,154.43,127.92,172.41,99.14,181.9,199.01,164.99,176.86,172.97,122.31,154.97,,,38,965,0,35,
08.12.21 16:17:32,10.05,135.41,127.67,161.18,115.99,171.03,205.11,139.06,161.99,119.52,150.15,131.27,121.29,153.36,126.13,171.86,97.19,181.62,199.01,163.9,176.58,173.24,120.02,153.89,,,38,965,0,35.04,
08.12.21 16:17:47,10.3,134.37,126.13,160.36,114.48,168.83,205.4,139.85,161.18,118.76,147.76,132.04,119.01,151.22,124.34,171.03,95.73,181.62,198.43,163.35,175.74,174.08,116.99,153.36,,,38,965,0,35.05,
08.12.21 16:18:02,10.55,132.04,125.11,159.55,111.48,168.28,204.53,138.54,159.28,119.01,145.37,131.27,116.24,149.08,122.31,171.31,93.79,180.21,197.85,162.26,174.08,173.52,114.48,151.75,,,38,965,0,35.08,
08.12.21 16:18:17,10.8,129.21,122.56,158.2,109.49,167.18,204.24,137.76,157.12,117.75,142.21,126.64,113.48,146.43,120.02,169.93,91.62,179.65,197.27,161.18,173.52,173.52,112.98,151.48,,,38,965,0,35.11,
08.12.21 16:18:32,11.05,127.15,121.54,157.39,107.01,167.18,203.36,137.5,154.7,117.25,139.32,123.83,111.23,144.58,118.51,167.45,89.69,178.53,196.41,160.09,171.86,172.69,111.48,149.88,,,38,965,0,35.14,
08.12.21 16:18:47,11.3,125.11,120.78,154.97,104.78,166.36,203.65,137.5,152.28,116.24,136.97,123.07,108.74,142.47,116.99,166.08,87.77,177.14,196.12,159.01,170.76,171.58,108.25,148.29,,,38,965,0,35.15,
08.12.21 16:19:02,11.55,122.81,120.53,152.02,102.81,166.91,203.07,136.71,149.62,114.73,134.37,119.52,105.77,141.16,114.98,165.26,85.62,176.86,196.41,157.39,169.65,170.76,106.26,147.23,,,38,965,0,35.18,
08.12.21 16:19:17,11.8,119.77,119.77,150.42,101.59,167.45,203.07,136.45,147.23,113.73,132.04,121.04,103.55,139.59,113.98,165.26,83,176.58,195.83,154.97,168.28,171.58,104.04,146.43,,,38,965,0,35.21,
08.12.21 16:19:32,12.05,114.98,119.26,148.82,99.87,167.73,202.78,136.19,144.58,112.23,129.72,115.99,100.85,138.02,112.48,163.9,81.34,175.74,195.26,152.55,167.45,171.58,101.34,145.64,,,38,965,0,35.24,
08.12.21 16:19:47,12.3,110.73,118.51,146.17,97.67,167.73,202.49,135.15,141.42,111.23,127.41,114.73,98.41,136.19,111.48,163.9,78.51,174.91,195.26,149.08,166.63,171.31,98.41,144.58,,,38,965,0,35.25,
08.12.21 16:20:02,12.55,107.01,117.25,144.32,96.46,167.45,201.61,133.86,138.28,110.98,125.62,112.98,95.73,134.37,109.74,161.99,75.92,174.08,194.4,145.64,165.26,170.76,95.24,143.26,,,38,965,0,35.28,
08.12.21 16:20:17,12.8,104.29,115.74,142.47,94.27,167.45,201.61,132.3,135.15,110.73,123.32,111.23,92.34,131.53,108.49,160.91,73.11,173.24,194.4,141.68,163.9,170.2,91.86,141.16,,,38,965,0,35.29,
08.12.21 16:20:32,13.05,102.81,115.23,141.16,92.82,168.83,201.32,132.04,133.08,110.23,122.05,108.74,90.17,128.95,107.25,159.82,70.55,172.69,194.4,138.28,162.54,170.2,88.49,140.37,,,38,965,0,35.33,
08.12.21 16:20:47,13.3,100.85,114.48,139.85,91.13,169.1,201.03,130.75,130.5,109.98,120.28,107.01,87.05,125.88,106.02,157.39,67.77,171.31,193.53,133.6,161.45,170.48,85.62,139.06,,,38,965,0,35.36,
08.12.21 16:21:02,13.55,99.38,113.23,138.54,89.45,169.38,200.16,129.72,127.92,109.24,118.51,110.98,83.95,123.32,105.52,154.16,65,170.76,193.25,129.72,160.63,169.93,83.24,137.76,,,38,965,0,35.39,
08.12.21 16:21:17,13.8,98.41,111.98,136.45,87.05,169.38,200.16,129.21,126.39,107.5,116.74,103.06,80.39,121.04,103.8,151.22,62.47,169.65,192.68,126.13,158.74,169.65,79.92,136.19,,,38,965,0,35.4,
08.12.21 16:21:32,14.05,97.43,110.73,134.11,85.86,169.1,199.87,126.64,124.09,107.25,114.98,98.65,77.56,119.77,103.06,148.29,60.18,168.83,192.1,123.32,157.66,169.38,77.33,134.63,,,38,965,0,35.43,
08.12.21 16:21:47,14.3,96.94,109.49,132.3,83.95,169.93,198.72,126.39,121.8,106.02,113.23,95.73,74.05,118,101.83,144.84,57.45,168.28,191.53,120.28,157.39,169.65,75.45,133.6,,,38,965,0,35.46,
08.12.21 16:22:02,14.55,95.97,108.49,130.5,82.53,170.2,198.72,125.36,120.02,105.28,111.73,94.27,71.01,116.49,100.85,141.95,55.63,167.18,191.25,117.5,156.31,169.38,73.81,132.04,,,38,965,0,35.49,
08.12.21 16:22:17,14.8,95.24,107.25,128.18,80.16,170.48,198.43,123.58,118.51,104.04,109.49,87.77,68,113.73,99.87,138.28,52.92,166.91,190.68,114.48,155.5,169.93,72.41,130.24,,,38,965,0,35.51,
08.12.21 16:22:32,15.05,95.24,106.02,126.13,79.21,171.31,199.01,123.58,116.74,102.57,108.99,87.05,65.46,110.48,99.14,135.67,51.12,166.36,190.68,111.98,154.16,170.76,71.48,128.95,,,38,965,0,35.54,
08.12.21 16:22:47,15.3,94.03,104.29,123.83,77.33,170.48,197.85,123.07,114.98,100.36,106.76,83.48,62.01,107.25,97.92,131.79,48.88,164.72,189.54,109.74,153.36,170.2,69.85,126.9,,,38,965,0,35.58,
08.12.21 16:23:02,15.55,93.55,102.57,121.29,74.98,170.76,197.27,121.8,112.48,98.41,104.54,78.74,59.95,101.34,96.46,129.47,47.31,163.63,188.97,107.25,152.28,168.83,68.46,124.6,,,38,965,0,35.58,
08.12.21 16:23:17,15.8,93.06,101.34,118.76,73.34,170.2,196.98,120.53,110.98,96.7,102.57,75.68,57.68,97.43,95.49,126.39,45.08,163.08,188.4,105.03,151.22,168.55,67.77,123.07,,,38,965,0,35.61,
08.12.21 16:23:32,16.05,92.34,99.63,115.74,71.94,169.65,196.12,121.29,108.74,95,100.12,72.64,55.41,94.76,94.03,123.83,43.09,161.99,188.11,103.06,149.62,168.83,68,121.29,,,38,965,0,35.65,
08.12.21 16:23:47,16.3,92.34,98.16,113.48,70.08,170.48,195.54,118.25,107.25,93.06,98.16,71.01,53.15,92.82,93.06,122.05,41.32,161.18,187.55,101.34,148.02,168.83,65,119.77,,,38,965,0,35.68,
08.12.21 16:24:02,16.55,92.34,97.19,110.98,68.69,170.48,195.83,117.75,105.77,90.65,96.7,69.39,51.12,91.62,92.58,119.77,39.77,160.09,187.26,99.87,147.49,169.38,63.62,118.51,,,38,965,0,35.71,
08.12.21 16:24:17,16.8,91.86,95.73,108.25,66.61,170.2,195.26,118.25,103.55,88.01,93.79,65.92,48.88,89.69,90.89,116.74,38.23,159.28,186.13,98.65,146.17,169.38,62.01,116.74,,,38,965,0,35.74,
08.12.21 16:24:32,17.05,90.65,94.76,105.77,65.69,169.93,195.26,118.25,101.83,86.34,91.86,62.93,46.87,88.01,89.69,114.73,36.7,158.47,184.43,96.94,145.64,168.83,61.1,114.73,,,38,965,0,35.75,
08.12.21 16:24:47,17.3,89.45,93.31,104.29,63.85,169.65,194.68,115.48,100.61,85.38,89.45,60.64,45.08,87.29,88.73,112.48,35.6,157.39,182.18,95.73,144.58,168.83,60.18,112.98,,,38,965,0,35.78,
08.12.21 16:25:02,17.55,88.25,92.1,102.57,62.24,169.65,193.82,113.73,98.89,84.43,87.05,58.36,43.75,85.86,87.53,110.23,34.29,156.58,179.37,93.79,143.52,168.55,59.27,110.73,,,38,965,0,35.79,
08.12.21 16:25:17,17.8,87.05,91.37,100.36,60.41,169.93,193.53,113.23,97.19,82.05,84.9,56.54,41.98,84.67,86.1,107.5,33.2,156.31,175.47,92.1,141.95,167.73,57.68,108.74,,,38,965,0,35.83,
08.12.21 16:25:32,18.05,86.34,89.45,98.65,59.04,169.1,192.96,113.73,95.49,80.63,83.24,56.77,40.87,84.43,84.67,105.03,32.55,155.5,171.86,90.65,140.9,168.55,57.68,106.76,,,38,965,0,35.86,
08.12.21 16:25:47,18.3,84.9,88.49,96.94,57.45,167.45,192.39,113.48,93.79,78.74,81.34,55.86,39.11,83.48,83.24,102.81,31.89,154.43,167.73,89.45,139.85,168,55.63,105.28,,,38,965,0,35.88,
08.12.21 16:26:02,18.55,84.67,86.81,95,54.95,166.91,192.1,113.23,91.62,77.33,78.74,52.92,37.79,83,81.58,100.36,30.59,153.09,162.26,87.77,138.54,166.91,56.77,103.06,,,38,965,0,35.9,
08.12.21 16:26:17,18.8,84.9,86.58,94.27,54.73,166.63,191.53,113.73,91.13,76.62,77.56,51.8,36.91,83,80.39,99.14,30.59,153.09,158.2,87.53,138.28,166.91,53.37,102.57,,,38,965,0,35.93,
08.12.21 16:26:32,19.05,84.67,84.43,92.1,52.7,164.99,190.68,113.48,88.73,74.75,74.98,50,35.6,82.76,78.27,96.7,29.51,152.02,153.09,86.58,136.97,166.63,51.8,100.85,,,38,965,0,35.94,
08.12.21 16:26:47,19.3,84.19,83.71,90.89,50.9,163.08,190.68,113.48,87.29,73.58,73.34,49.33,34.73,82.76,76.86,95.73,29.29,151.22,149.08,85.86,135.67,167.45,50.9,99.87,,,38,965,0,35.99,
08.12.21 16:27:02,19.55,83.48,82.29,89.69,50,161.18,190.39,112.48,85.62,72.41,71.25,49.77,34.07,81.82,75.68,93.79,29.08,150.95,145.37,84.9,134.89,167.73,50.22,98.41,,,38,965,0,36,
08.12.21 16:27:17,19.8,82.76,81.1,88.49,48.88,158.47,189.82,111.98,83.24,70.55,70.08,47.76,33.2,81.58,74.05,92.1,28.64,149.62,141.95,84.43,134.11,166.36,48.43,97.67,,,38,965,0,36.04,
08.12.21 16:27:32,20.05,82.29,79.69,87.53,47.76,156.58,188.97,112.48,81.34,68.92,68.23,44.86,31.89,81.34,72.18,90.65,27.99,149.35,139.32,83.95,133.34,166.36,47.76,96.46,,,38,965,0,36.04,